,Rank,Previous Rank,Name,Country/Territory,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,IRN SCORE,IRN RANK,SUS SCORE,SUS RANK,Overall SCORE
47,47,45,Shanghai Jiao Tong University,China (Mainland),VH,Public,92.7,56,93.8,56,64.5,275,100.0,13,40.9,490,19.1,741,77.7,389,82.5,141=,84.3
48,49,47,Zhejiang University,China (Mainland),VH,Public,87.0,75,97.2,36,53.0,355,100.0,11,94.1,189,23.5,683,94.0,100,63.0,441=,84
49,50,56,Yonsei University,Republic of Korea,VH,Private not for Profit,91.6,64,97.8,34,84.3,142,67.9,231,30.5,582,74.3,258,78.0,382,87.7,86,82.9
50,51,54,University of Bristol,United Kingdom,VH,Public,87.3,73,89.4,75,36.7,546,83.2,135,90.7,219,95.7,118,95.3,74,97.0,12=,82.5
51,52,58,Carnegie Mellon University,United States of America,VH,Private not for Profit,80.1,98,94.4,52,51.1,370,98.6,43,52.4,426,98.7,77,79.2,364,66.2,375,82.3
52,53,55,The University of Amsterdam,Netherlands,VH,Public,92.5,57,72.6,135,27.5,688,87.2,113,98.8,133,95.8,117,95.1,82,64.0,422=,81.5
53,54,57,The Hong Kong Polytechnic University,"Hong Kong SAR, China",VH,Public,81.2,93,47.5,275,77.1,182,98.7,41,100.0,34,98.8,76,82.8,296,80.8,160,81.2
54,55,43,New York University (NYU),United States of America,VH,Private not for Profit,98.6,32,99.9,12,89.0,109,31.7,568,33.1,553,99.7,52,93.5,115,91.3,52,81.1
55,56,50,London School of Economics and Political Science (LSE),United Kingdom,VH,Public,80.6,96,99.4,20,47.2,417,64.0,256,100.0,41,100.0,14,76.4,417,92.7,39=,80.5
56,57,50,Kyoto University,Japan,VH,Public,99.7,19,99.3,22,94.3,80,50.9,369,22.9,675,29.2,601,85.5,247,84.0,124=,80.2
57,58,59,Ludwig-Maximilians-Universität München,Germany,VH,Public,97.1,41,95.5,47,41.0,493,62.3,271,80.3,296,53.2,387,95.5,72,87.0,89,80.1
58,58,60,Universiti Malaya (UM),Malaysia,VH,Public,92.3,58,96.7,40,74.2,205,47.4,398,69.2,338,86.8,188,92.9,127,84.7,115=,80.1
59,60,63,KU Leuven,Belgium,VH,Public,93.0,53,63.5,169,9.6,801+,94.7,75,95.8,166,65.1,307,99.5,4,94.7,25,79.7
60,61,67,Korea University,Republic of Korea,VH,Private not for Profit,89.2,70,95.4,48,77.0,183,68.2,229,24.5,656,64.0,311,67.7,573,85.9,101,79.6
61,62,61,Duke University,United States of America,VH,Private not for Profit,92.9,54,91.0,68,100.0,7,47.1,402,28.3,602,62.0,326,90.8,163,77.6,205,79
62,63,62,City University of Hong Kong,"Hong Kong SAR, China",VH,Public,75.5,109,46.7,284,94.8,75,100.0,2,100.0,16,100.0,5,64.5,628,75.2,232=,78.9
63,63,68,National Taiwan University (NTU),Taiwan,VH,Public,97.7,38,94.2,54,38.8,522,70.9,209,25.3,647,59.2,346,67.1,587,88.4,74=,78.9
64,65,65,The University of Auckland,New Zealand,VH,Public,91.7,63,55.2,220,17.6,801+,79.1,162,100.0,83,95.5,122,88.8,194,95.7,17,77.5
65,66,72,"University of California, San Diego (UCSD)",United States of America,VH,Public,94.0,49,80.2,103,54.4,347,80.3,155,43.8,473,47.0,431,94.0,99,72.3,286=,76.9
66,67,101,King Fahd University of Petroleum & Minerals,Saudi Arabia,VH,Public,53.5,206,75.6,124,92.4,93,93.2,85,100.0,27,76.2,250,81.0,330,62.7,444=,76.5
67,68,66,University of Texas at Austin,United States of America,VH,Public,97.6,39,96.8,38,10.7,801+,85.4,122,9.1,801+,19.1,742,90.5,169,70.6,308=,76.4
68,69,79,Brown University,United States of America,VH,Private not for Profit,72.4,126,64.3,166,84.5,139,82.2,143,91.0,218,67.0,297,80.1,352,72.6,280,76.2
69,70,73,Université Paris-Saclay,France,VH,Public,75.3,112,99.4,19,99.9,24,42.4,450,45.9,463,72.7,263,98.5,16,92.7,39=,75.9
70,70,69,University of Illinois at Urbana-Champaign,United States of America,VH,Public,91.7,62,91.5,66,8.6,801+,81.6,147,14.2,801+,70.1,277,91.3,152,75.9,223=,75.9
71,72,75,Lund University,Sweden,VH,Public,80.1,99,64.1,167,68.1,246,56.6,312,98.8,134,82.0,213,97.1,35,98.8,3=,75.7
72,72,63,Sorbonne University (merged from Paris IV & UPMC),France,VH,Public,93.2,52,62.1,182,56.4,329,68.8,225,35.5,533,66.8,300,99.4,9,89.2,68=,75.7
73,74,69,The University of Warwick,United Kingdom,VH,Public,82.7,85,93.0,60,48.3,402,43.6,432,99.5,111,99.2,60,93.8,101,84.6,117=,75.2
74,75,87,"Trinity College Dublin, The University of Dublin",Ireland,VH,Public,82.5,87,68.1,154,28.7,662,66.0,240,100.0,88,94.9,126,89.4,183,73.8,262=,73.9
75,76,80,University of Birmingham,United Kingdom,VH,Public,81.1,95,75.7,122,49.9,385,56.1,316,96.7,154,93.4,139,96.3,54,92.8,38,73.8
76,77,77,The University of Western Australia,Australia,VH,Public,69.0,137,56.5,209,15.1,801+,99.2,34,100.0,77,100.0,36,93.2,122,83.7,129=,73.7
77,78,74,KTH Royal Institute of Technology,Sweden,VH,Public,60.2,174,62.1,183,68.3,242,88.2,109,95.6,171,81.8,215,91.7,147,89.8,66,73.6
78,79,78,University of Glasgow,United Kingdom,VH,Public,88.3,72,73.5,132,50.3,377,44.8,416,98.0,140,99.1,67,97.0,38,95.4,19=,73.4
79,80,84,Ruprecht-Karls-Universität Heidelberg,Germany,VH,Public,87.1,74,72.2,138,99.8,32,41.4,456,66.2,352,71.4,265,94.7,88,85.5,106,73
80,81,76,University of Washington,United States of America,VH,Public,90.1,68,74.8,128,49.2,391,69.2,221,14.7,801+,45.8,441,95.0,83,74.9,237=,72.7
81,82,,Adelaide University,Australia,VH,,78.3,102,62.7,176,30.5,621,69.8,218,100.0,90,97.5,96,96.7,46,86.1,98=,72.6
82,82,89,Pennsylvania State University,United States of America,VH,Public,86.1,77,85.8,89,29.1,647,67.2,235,37.4,518,38.2,514,97.4,31,95.4,19=,72.6
83,84,71,Universidad de Buenos Aires,Argentina,VH,Public,98.1,34,95.8,44,82.0,158,2.3,801+,72.3,328,78.5,233,75.8,423,66.1,376=,72.3
84,85,84,Tokyo Institute of Technology,Japan,VH,Public,85.0,80,95.7,45,87.6,115,54.2,339,29.8,587,43.4,464,67.8,571,74.2,253=,72.1
85,86,82,University of Leeds,United Kingdom,VH,Public,81.8,90,82.1,98,39.7,512,48.8,380,89.7,224,96.3,108,99.2,13,76.4,219=,72
86,87,80,University of Southampton,United Kingdom,VH,Public,62.6,163,55.9,214,40.1,504,87.8,111,96.8,153,98.6,82,97.4,32,95.1,23,71.2
87,88,108,Boston University,United States of America,VH,Private not for Profit,75.3,111,86.7,83,40.6,497,61.9,273,40.0,500,92.8,150,84.9,256,73.7,264,71.1
88,88,97,Freie Universität Berlin,Germany,VH,Public,88.3,71,66.4,160,8.3,801+,84.3,128,73.8,322,56.0,373,94.4,92,65.4,391,71.1
89,88,89,Purdue University,United States of America,VH,Public,74.3,115,92.7,62,16.4,801+,62.4,265,96.4,159,55.3,377,91.0,157,88.4,74=,71.1
90,91,86,The University of Osaka,Japan,VH,Public,90.5,67,90.0,73,45.6,430,65.8,242,25.2,649,21.1,709,72.0,500,79.5,180=,71
91,92,105,The University of Sheffield,United Kingdom,VH,Public,73.0,122,61.7,186,50.3,378,68.4,226,81.6,281,98.0,89,96.8,42,94.3,27,70.9
92,93,103,Uppsala University,Sweden,VH,Public,74.7,113,48.1,268,66.3,260,55.9,318,99.7,106,82.9,207,95.9,60,94.4,26,70.3
93,94,89,Durham University,United Kingdom,VH,Public,74.1,117,91.9,64,37.3,539,42.9,441,99.2,123,94.5,134,90.9,161,95.2,22,70.1
94,94,96,University of Alberta,Canada,VH,Public,70.9,133,53.0,230,44.6,443,71.5,204,99.4,119,78.6,229,94.5,90,90.7,58,70.1
95,96,88,University of Technology Sydney,Australia,VH,Public,58.7,180,66.7,159,11.8,801+,99.3,33,97.6,146,91.7,151,89.7,177,92.0,47,69.9
96,97,108,The University of Nottingham,United Kingdom,VH,Public,75.4,110,78.4,110,44.5,444,48.6,382,92.7,202,78.5,231,97.4,30,92.9,36=,69.4
97,98,102,Karlsruhe Institute of Technology (KIT),Germany,VH,Public,57.1,194,87.4,82,48.9,397,77.1,168,83.8,265,56.9,363,86.9,219,79.5,180=,69.1
98,98,111,Politecnico di Milano,Italy,VH,Public,83.4,84,90.1,72,9.3,801+,53.9,343,74.4,317,69.3,281,87.0,215,72.9,275=,69.1
99,100,109,University of Zurich (UZH),Switzerland,VH,Public,71.0,132,43.5,308,95.2,72,52.3,361,100.0,82,57.8,357,93.5,114,69.8,318,68.5
100,101,100,University of Copenhagen,Denmark,VH,Public,85.5,79,41.7,324,99.6,34,36.6,512,87.3,241,26.5,640,98.0,22,76.3,221,68.4
101,102,98,Pohang University of Science And Technology (POSTECH),Republic of Korea,VH,Private not for Profit,61.3,166,83.3,94,99.9,27,98.3,45,31.6,568,4.2,801+,29.6,801+,64.3,415=,67.9
102,103,145,Nanjing University,China (Mainland),VH,Public,72.1,128,61.2,188,37.2,541,99.0,39,82.9,273,15.9,799,69.5,541,59.5,513,67.7
103,103,105,Utrecht University,Netherlands,VH,Public,79.3,100,49.2,258,39.5,514,77.9,165,63.4,367,30.5,586,97.8,23,75.1,235,67.7
104,105,94,Lomonosov Moscow State University,Russian Federation,VH,Public,83.7,83,87.9,80,99.9,26,7.3,801+,25.5,641,96.0,112,87.0,214,48.8,734=,67.6
105,105,99,Rheinisch-Westfälische Technische Hochschule Aachen,Germany,VH,Public,57.7,187,95.7,46,10.7,801+,79.7,157,59.6,393,93.0,146,86.0,237,82.9,135=,67.6
106,107,109,Technical University of Denmark,Denmark,VH,Public,44.8,264,36.2,396,98.4,49,90.9,99,100.0,52,95.9,113,87.1,213,68.0,351=,67.5
107,108,92,Universidade de São Paulo (USP),Brazil,VH,Public,97.3,40,81.0,102,30.5,623,40.3,467,9.2,801+,3.5,801+,95.3,76,89.0,70,67.3
108,109,107,Tohoku University,Japan,VH,Public,84.5,82,86.5,84,98.2,52,35.5,519,20.5,705,19.4,739,70.1,529,82.0,149=,66.7
109,110,120,Queen Mary University of London (QMUL),United Kingdom,VH,Public,63.6,160,47.1,277,31.0,618,83.4,134,99.9,100,99.9,45,91.9,146,82.4,144=,66.6
110,110,116,University of Wisconsin-Madison,United States of America,VH,Public,85.7,78,63.1,172,84.3,141,28.1,606,57.7,400,37.0,527,88.9,192,72.5,281=,66.6
111,112,122,Qatar University,Qatar,VH,Public,43.3,273,56.5,208,73.8,206,73.3,188,100.0,26,98.6,83,89.6,179,72.2,289=,66.5
112,113,104,University of St Andrews,United Kingdom,VH,Public,61.5,165,74.9,127,63.8,278,51.3,368,98.8,131,99.7,47,87.7,208,86.2,97,66.4
113,114,113,Aalto University,Finland,VH,Public,57.5,189,56.1,212,35.1,564,79.6,160,97.2,147,60.0,343,80.9,332,88.3,77,66.3
114,114,130,"University of California, Davis",United States of America,VH,Public,72.7,125,70.1,146,28.3,675,66.5,237,86.5,250,61.9,327,90.8,165,79.8,174,66.3
115,116,93,Pontificia Universidad Católica de Chile,Chile,VH,Private not for Profit,98.0,36,98.6,29,35.1,562,14.2,801+,42.0,482,7.8,801+,81.2,328,80.0,169=,66.1
116,116,117,University of Helsinki,Finland,VH,Public,74.5,114,37.7,370,66.9,256,62.7,262,78.5,305,13.1,801+,96.1,57,95.6,18,66.1
117,118,126,University College Dublin,Ireland,VH,Public,66.5,149,57.6,204,19.7,801+,62.0,272,99.5,112,89.6,170,89.0,188,91.7,49=,66
118,119,141,Leiden University,Netherlands,VH,Public,80.4,97,46.3,288,30.3,629,64.9,249,89.7,225,68.4,288,94.3,93,58.6,530=,65.7
119,119,141,Rice University,United States of America,VH,Private not for Profit,50.6,221,51.0,245,74.9,196,81.6,148,91.3,215,96.6,104,66.3,605,81.5,156,65.7
120,119,119,University of Oslo,Norway,VH,Public,67.8,143,27.7,498,78.4,176,67.7,232,95.8,167,46.0,439,96.8,43,72.3,286=,65.7
121,119,115,University of Waterloo,Canada,VH,Public,53.0,209,74.2,130,8.8,801+,88.3,108,81.5,283,76.6,247,83.5,285,90.5,60,65.7
122,123,114,Georgia Institute of Technology,United States of America,VH,Public,76.0,107,92.8,61,32.4,595,54.2,340,21.5,692,60.4,339,79.0,368,66.1,376=,65.5
123,123,150,Indian Institute of Technology Delhi (IITD),India,VH,Public,67.9,142,95.0,50,21.9,792,93.1,86,3.2,801+,1.9,801+,66.9,590,79.9,172=,65.5
124,125,123,RMIT University,Australia,VH,Public,55.1,202,60.3,191,7.2,801+,91.3,96,100.0,45,95.2,125,83.1,292,87.9,80=,65.3
125,126,123,Sungkyunkwan University,Republic of Korea,VH,Private not for Profit,68.4,139,75.6,125,83.8,149,62.3,269,24.2,659,57.6,359,49.5,801+,74.7,243=,65.2
126,126,138,Universiti Kebangsaan Malaysia (UKM),Malaysia,VH,Public,76.2,106,76.4,119,78.7,174,30.1,587,50.1,439,94.7,129,86.1,235,74.7,243=,65.2
127,128,132,Sapienza University of Rome,Italy,VH,Public,90.7,65,66.4,161,7.8,801+,62.9,261,4.0,801+,14.8,801+,95.9,61,81.9,151=,64.9
128,129,118,Indian Institute of Technology Bombay (IITB),India,VH,Public,73.3,120,96.7,39,16.1,801+,82.9,136,6.5,801+,1.6,801+,46.6,801+,75.2,232=,64.8
129,130,126,Humboldt-Universität zu Berlin,Germany,VH,Public,94.3,47,75.3,126,10.5,801+,43.4,435,75.7,314,47.6,424,95.0,85,58.4,536=,64.5
130,131,144,Aarhus University,Denmark,VH,Public,68.3,140,41.7,325,42.4,472,74.1,183,96.7,157,25.5,654,96.3,52,73.2,271=,64.3
131,132,150,University of Bath,United Kingdom,VH,Public,48.9,233,81.6,100,20.5,801+,75.9,173,95.6,170,86.8,187,85.3,250,83.8,127=,64.2
132,132,133,University of Science and Technology of China,China (Mainland),VH,Public,57.6,188,50.6,248,98.1,56,99.4,30,14.9,801+,7.8,801+,74.4,457,55.3,596=,64.2
133,134,148,Universiti Putra Malaysia (UPM),Malaysia,VH,Public,75.7,108,73.4,133,66.8,258,38.3,487,45.2,467,98.4,84,86.8,221,68.9,331=,64.1
134,134,146,Universiti Sains Malaysia (USM),Malaysia,VH,Public,77.6,104,79.8,104,47.6,410,38.4,486,34.7,539,99.3,57,92.5,137,74.5,249,64.1
135,136,94,Universidad Nacional Autónoma de México (UNAM),Mexico,VH,Public,99.2,28,95.9,43,47.1,419,4.1,801+,10.0,801+,5.4,801+,93.6,110,82.2,146=,64
136,137,129,Newcastle University,United Kingdom,VH,Public,62.9,162,68.7,152,49.5,388,49.1,379,92.5,205,81.0,220,95.8,65,90.9,56,63.9
137,138,133,Alma Mater Studiorum - University of Bologna,Italy,VH,Public,90.6,66,67.5,156,6.0,801+,51.9,363,29.9,585,26.5,639,95.6,67,83.2,133,63.3
138,138,133,Macquarie University,Australia,VH,Public,47.7,242,56.7,206,13.6,801+,85.8,119,100.0,86,97.3,98,91.0,156,90.6,59,63.3
139,140,136,Eindhoven University of Technology,Netherlands,VH,Public,40.5,296,77.3,115,43.6,455,81.9,146,100.0,87,95.7,119,74.3,459,74.1,255=,63.2
140,140,158,Erasmus University Rotterdam,Netherlands,VH,Public,49.4,230,74.8,129,20.7,801+,75.7,174,81.8,280,81.6,216,81.8,318,62.2,454=,63.2
141,140,155,"University of North Carolina, Chapel Hill",United States of America,VH,Public,72.2,127,55.5,216,85.6,129,47.9,389,31.1,577,25.0,663,89.5,181,83.9,126,63.2
142,143,200,King Saud University,Saudi Arabia,VH,Public,54.8,204,57.7,201,55.7,336,65.6,244,100.0,89,29.2,600,96.8,41,63.1,439=,63.1
143,144,154,Texas A&M University,United States of America,VH,Public,72.9,124,81.5,101,6.2,801+,75.5,175,28.0,608,20.7,717,93.0,124,61.0,480=,63
144,145,147,Technische Universität Berlin,Germany,VH,Public,64.6,156,79.4,107,70.6,221,34.3,533,64.2,361,84.5,197,89.0,187,68.3,344=,62.8
145,146,125,University of Southern California,United States of America,VH,Private not for Profit,61.2,167,69.6,150,19.6,801+,66.2,240,15.8,786,81.2,219,87.8,204,92.1,45=,62.6
146,147,128,Stockholm University,Sweden,VH,Public,65.1,155,29.5,484,28.3,678,73.6,186,83.0,271,79.4,224,96.7,45,72.1,291=,62.5
147,147,159,University of Groningen,Netherlands,VH,Public,67.2,147,41.6,326,56.2,331,53.0,353,95.4,174,89.4,173,93.4,118,67.6,355=,62.5
148,147,165,University of Liverpool,United Kingdom,VH,Public,60.7,171,48.8,264,37.3,538,61.7,276,92.4,206,91.1,157,97.0,39,92.4,42=,62.5
149,150,171,University of Cape Town,South Africa,VH,Public,58.2,183,62.3,179,14.6,801+,75.4,176,66.1,353,27.9,615,97.7,24,92.1,45=,62.3
150,151,120,Western University,Canada,VH,Public,42.3,282,53.5,227,5.2,801+,93.5,84,100.0,85,68.7,283,83.6,282,94.0,30=,62
151,152,137,University of Vienna,Austria,VH,Public,82.3,88,46.4,285,31.0,617,22.2,682,100.0,71,96.6,103,96.3,53,71.8,294=,61.9
152,153,181,Universiti Teknologi Malaysia (UTM),Malaysia,VH,Public,64.0,158,72.1,139,58.8,309,57.8,302,15.5,797,91.4,155,90.6,167,69.2,326=,61.6
153,153,155,Wageningen University & Research,Netherlands,VH,Public,55.0,203,34.4,420,99.5,37,54.8,329,72.0,329,90.7,159,97.2,34,91.2,53,61.6
154,155,169,University of Exeter,United Kingdom,VH,Public,57.9,186,58.5,198,42.0,480,55.8,320,94.8,181,77.8,235,95.8,66,93.9,32,61.5
155,155,155,University of Geneva,Switzerland,VH,Public,55.3,201,34.8,414,47.4,414,70.3,214,100.0,54,98.6,81,92.1,144,66.5,370,61.5
156,157,141,Lancaster University,United Kingdom,VH,Public,51.2,217,45.8,296,36.1,555,77.5,166,96.4,161,93.3,141,87.0,216,89.2,68=,61.4
157,158,131,University of Basel,Switzerland,VH,Public,34.0,357,20.7,639,70.2,229,94.2,80,100.0,47,91.4,156,90.4,170,88.4,74=,61.3
158,159,162,Hanyang University,Republic of Korea,VH,Private not for Profit,58.2,184,81.9,99,81.7,159,42.9,440,23.7,664,70.1,279,65.5,615,82.8,137,61.2
159,160,165,University of Barcelona,Spain,VH,Public,84.9,81,48.9,262,19.0,801+,47.8,391,39.9,501,40.8,484,96.4,50,84.7,115=,61
160,161,152,Michigan State University,United States of America,VH,Public,67.3,146,62.9,174,13.9,801+,61.2,280,67.2,348,21.1,708,97.6,27,94.2,28,60.9
161,162,169,Ghent University,Belgium,VH,Public,68.2,141,39.1,350,84.5,140,32.4,557,83.4,267,33.8,549,99.2,11,94.0,30=,60.8
162,163,149,King Abdul Aziz University (KAU),Saudi Arabia,VH,Public,67.5,145,76.6,118,41.4,490,47.8,390,83.1,270,9.2,801+,95.0,84,77.5,206=,60.7
163,164,152,Nagoya University,Japan,VH,Public,74.2,116,71.5,141,84.2,144,38.2,491,22.6,681,27.6,619,66.0,610,74.1,255=,60.3
164,165,139,Chalmers University of Technology,Sweden,VH,Private not for Profit,34.6,350,56.6,207,59.5,303,80.9,152,100.0,56,74.3,257,77.0,405,82.7,138=,60.2
165,166,163,Al-Farabi Kazakh National University,Kazakhstan,HI,Public,60.7,172,86.3,85,99.6,36,2.1,801+,80.9,288,83.2,204,75.7,426,62.8,443,59.8
166,167,171,Washington University in St. Louis,United States of America,VH,Private not for Profit,46.5,251,25.7,529,99.8,31,62.6,263,93.1,199,81.8,214,74.8,445,85.8,102=,59.6
167,168,159,University of Montreal,Canada,VH,Public,66.1,151,44.0,303,79.5,171,26.3,621,91.5,214,66.4,301,88.7,195,89.9,65,59.5
