Country,University_Name,World_Rank,National_Rank,QS_Rank,THE_Rank,ARWU_Rank,Enrollment,Undergrad_Students,Postgrad_Students,Faculty_Count,Student_Faculty_Ratio,Research_Output,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank
Australia,University of Australia 36,36,4,30,28,55,44151,26866,17285,1866,23.7,High,25,38128,78,91,68,28
South Korea,University of South Korea 37,37,4,35,23,19,37797,21263,16534,1945,19.4,High,15,6296,26,73,-4,32
Singapore,University of Singapore 38,38,4,47,23,41,31597,21658,9939,2522,12.5,High,29,18855,76,78,0,49
Netherlands,University of Netherlands 39,39,4,31,51,32,36923,22920,14003,2018,18.3,High,9,9024,27,65,74,37
France,University of France 40,40,5,35,49,33,20552,13447,7105,840,24.5,High,5,29494,51,93,18,27
Canada,University of Canada 41,41,5,46,29,47,48518,36606,11912,3510,13.8,High,5,24727,20,87,2,62
United States,University of United States 42,42,5,47,51,25,59083,41162,17921,5082,11.6,High,41,44717,49,83,24,26
South Korea,University of South Korea 43,43,5,48,47,23,59976,41983,17993,2747,21.8,High,23,18835,67,86,34,40
Netherlands,University of Netherlands 44,44,5,43,36,37,17534,10998,6536,1156,15.2,High,46,7393,30,94,79,48
France,University of France 45,45,5,40,55,48,56821,29027,27794,2740,20.7,High,12,53715,56,60,43,48
South Korea,University of South Korea 46,46,5,49,44,32,59389,43087,16302,2412,24.6,High,11,4911,9,78,56,18
India,University of India 47,47,5,49,50,54,28890,17961,10929,2028,14.2,High,47,40386,72,83,31,31
Netherlands,University of Netherlands 48,48,5,43,53,42,8619,6236,2383,509,16.9,High,10,41995,12,80,81,49
Germany,University of Germany 49,49,5,42,43,55,16803,10128,6675,1058,15.9,High,6,38522,26,68,84,30
South Korea,University of South Korea 50,50,6,44,59,60,48628,35347,13281,2027,24.0,High,13,52580,68,73,26,32
Switzerland,University of Switzerland 51,51,6,53,52,45,9736,6826,2910,453,21.5,High,17,11885,75,84,48,22
Australia,University of Australia 52,52,6,45,40,38,59062,42480,16582,2552,23.1,High,15,21817,13,88,63,71
United Kingdom,University of United Kingdom 53,53,6,59,49,66,57556,43725,13831,5086,11.3,High,33,47409,42,64,31,37
United Kingdom,University of United Kingdom 54,54,6,53,57,62,17772,10302,7470,1025,17.3,High,19,52058,50,62,34,71
France,University of France 55,55,6,55,65,71,34174,20257,13917,3132,10.9,High,47,32190,27,63,21,50
United States,University of United States 56,56,6,59,67,39,44476,24333,20143,2260,19.7,High,24,21411,21,78,50,49
China,University of China 57,57,6,53,65,58,32600,19865,12735,1747,18.7,High,21,43873,40,80,54,43
South Korea,University of South Korea 58,58,6,57,54,62,51266,28131,23135,2300,22.3,High,28,40241,21,66,65,38
Netherlands,University of Netherlands 59,59,6,51,59,44,13445,9080,4365,547,24.6,High,38,40591,65,70,22,53
Germany,University of Germany 60,60,7,62,53,48,24202,17125,7077,2129,11.4,High,44,15366,47,87,106,42
Brazil,University of Brazil 61,61,7,69,75,41,59413,45945,13468,4585,13.0,High,32,23965,37,86,33,78
Switzerland,University of Switzerland 62,62,7,71,49,66,39848,26237,13611,3238,12.3,High,21,30660,47,75,110,67
Japan,University of Japan 63,63,7,56,67,44,45960,24677,21283,1870,24.6,High,32,52510,6,73,108,47
Australia,University of Australia 64,64,7,56,76,74,12241,7089,5152,1140,10.7,High,38,4444,19,73,94,52
India,University of India 65,65,7,73,68,62,52826,31752,21074,2695,19.6,High,45,19301,62,86,16,39
Japan,University of Japan 66,66,7,59,77,77,44413,29340,15073,2141,20.7,High,12,21134,54,77,102,40
China,University of China 67,67,7,73,61,65,16822,10724,6098,688,24.5,High,32,55376,20,66,108,45
Italy,University of Italy 68,68,7,61,73,82,43149,28350,14799,2439,17.7,High,8,4490,27,81,105,71
Singapore,University of Singapore 69,69,7,68,82,78,48906,37970,10936,3417,14.3,High,34,46799,8,79,30,40
Netherlands,University of Netherlands 70,70,8,73,82,66,25968,15238,10730,1191,21.8,High,5,48397,8,91,35,82
Italy,University of Italy 71,71,8,78,63,59,10577,7642,2935,483,21.9,High,46,25453,62,63,30,50
Japan,University of Japan 72,72,8,72,57,74,47907,37828,10079,3814,12.6,High,25,58118,56,62,44,76
Singapore,University of Singapore 73,73,8,67,61,54,39003,21153,17850,1854,21.0,High,5,42625,36,75,122,84
Japan,University of Japan 74,74,8,82,70,69,40416,21651,18765,2592,15.6,High,19,29058,63,90,70,58
Spain,University of Spain 75,75,8,84,67,91,42968,34117,8851,3675,11.7,High,16,12977,9,71,96,72
France,University of France 76,76,8,68,79,79,19336,14128,5208,1184,16.3,High,19,23809,36,90,125,84
Australia,University of Australia 77,77,8,86,82,83,53562,32505,21057,2681,20.0,High,19,19927,8,93,89,98
United States,University of United States 78,78,8,69,84,78,53377,33051,20326,4156,12.8,High,36,42940,70,70,70,90
Brazil,University of Brazil 79,79,8,77,77,91,38469,22905,15564,2552,15.1,High,24,23678,11,60,61,75
Canada,University of Canada 80,80,9,78,68,88,48695,30849,17846,4565,10.7,High,44,13045,16,73,57,95
Italy,University of Italy 81,81,9,83,85,91,38147,30252,7895,2436,15.7,High,11,19499,21,76,86,66
India,University of India 82,82,9,74,82,84,15157,11666,3491,786,19.3,High,43,45634,29,78,38,69
Spain,University of Spain 83,83,9,88,94,63,25381,13679,11702,1826,13.9,High,30,18898,16,60,113,69
South Korea,University of South Korea 84,84,9,83,84,79,59853,39306,20547,4615,13.0,High,26,29524,15,73,87,85
Canada,University of Canada 85,85,9,88,88,102,31822,24419,7403,2626,12.1,High,10,11507,13,87,131,107
India,University of India 86,86,9,80,79,97,53360,27268,26092,2363,22.6,High,28,39185,75,89,94,58
Australia,University of Australia 87,87,9,81,74,106,44714,26620,18094,1809,24.7,High,19,18480,9,98,88,85
China,University of China 88,88,9,81,94,98,37330,21541,15789,2032,18.4,High,35,16650,25,88,54,81
Germany,University of Germany 89,89,9,93,87,86,35288,26142,9146,1651,21.4,High,13,57240,36,85,114,73
Brazil,University of Brazil 90,90,10,84,90,90,25374,17820,7554,1214,20.9,High,19,40510,72,88,83,91
Canada,University of Canada 91,91,10,99,82,101,7108,3947,3161,453,15.7,High,40,19119,7,73,72,71
India,University of India 92,92,10,85,96,88,13699,6855,6844,1309,10.5,High,18,43808,60,93,105,115
Singapore,University of Singapore 93,93,10,89,98,95,29907,21177,8730,2158,13.9,High,24,57208,32,91,141,102
Spain,University of Spain 94,94,10,91,91,85,29592,15711,13881,1351,21.9,High,28,38941,50,91,58,99
France,University of France 95,95,10,93,92,100,21677,12060,9617,1085,20.0,High,5,16824,42,90,81,78
France,University of France 96,96,10,87,84,115,59564,34675,24889,5622,10.6,High,45,22731,7,65,129,90
Germany,University of Germany 97,97,10,100,102,79,36037,20451,15586,1622,22.2,High,42,23406,63,87,127,105
Italy,University of Italy 98,98,10,92,87,92,21462,12023,9439,2005,10.7,High,16,31756,32,67,51,116
Netherlands,University of Netherlands 99,99,10,92,86,94,25907,13724,12183,1530,16.9,High,25,41321,47,66,79,118
Australia,University of Australia 100,100,11,97,114,88,28174,14103,14071,1165,24.2,High,27,30120,40,72,147,75
Spain,University of Spain 101,101,11,102,95,117,27295,19262,8033,2201,12.4,High,12,44993,47,61,51,91
Canada,University of Canada 102,102,11,100,105,90,55235,44185,11050,4302,12.8,High,36,49511,21,84,77,108
Germany,University of Germany 103,103,11,96,108,85,59305,41181,18124,3170,18.7,High,6,38240,15,97,84,98
India,University of India 104,104,11,102,105,93,14067,9195,4872,637,22.1,High,15,34312,76,65,129,129
Singapore,University of Singapore 105,105,11,114,96,107,27738,14727,13011,2457,11.3,High,12,52078,47,65,79,122
Canada,University of Canada 106,106,11,106,114,122,34573,20227,14346,2588,13.4,High,20,6664,26,84,99,97
Canada,University of Canada 107,107,11,107,108,119,19831,14726,5105,1131,17.5,High,5,15228,44,74,155,129
United States,University of United States 108,108,11,104,120,116,57844,45400,12444,5064,11.4,High,27,44783,26,65,137,110
Netherlands,University of Netherlands 109,109,11,109,118,121,15649,10996,4653,812,19.3,High,48,43971,31,97,83,91
Japan,University of Japan 110,110,12,100,115,112,32517,21149,11368,1384,23.5,High,48,8256,65,92,125,101
Singapore,University of Singapore 111,111,12,106,102,116,28673,18673,10000,1404,20.4,High,38,55822,27,85,61,136
Canada,University of Canada 112,112,12,121,120,108,49756,30645,19111,4911,10.1,High,32,40292,59,76,150,110
Singapore,University of Singapore 113,113,12,116,114,111,16181,11200,4981,899,18.0,High,46,7021,77,95,152,94
United Kingdom,University of United Kingdom 114,114,12,105,117,126,8228,5803,2425,372,22.1,High,32,17709,47,70,136,108
South Korea,University of South Korea 115,115,12,116,105,111,52223,26714,25509,3657,14.3,High,34,57053,7,86,117,144
United States,University of United States 116,116,12,119,109,101,21106,15007,6099,1586,13.3,High,24,19049,59,97,85,136
China,University of China 117,117,12,121,119,105,41842,26146,15696,3304,12.7,High,48,35539,73,74,143,102
Canada,University of Canada 118,118,12,112,126,104,59362,34203,25159,4446,13.4,High,19,19798,10,72,143,131
Japan,University of Japan 119,119,12,115,129,102,21818,16762,5056,1189,18.3,High,7,5032,63,77,89,122
France,University of France 120,120,13,117,119,106,12856,6831,6025,653,19.7,High,26,45916,69,70,123,90
Singapore,University of Singapore 121,121,13,111,135,138,59374,46352,13022,5569,10.7,High,34,23627,56,73,124,114
Canada,University of Canada 122,122,13,125,120,134,44202,28429,15773,3254,13.6,High,8,59283,77,93,96,147
United Kingdom,University of United Kingdom 123,123,13,127,136,115,24207,15480,8727,1730,14.0,High,20,15248,76,70,150,96
Spain,University of Spain 124,124,13,118,117,136,49556,34033,15523,4357,11.4,High,38,27929,35,71,111,145
Japan,University of Japan 125,125,13,125,114,140,16389,12555,3834,1113,14.7,High,14,2498,20,81,145,134
Brazil,University of Brazil 126,126,13,135,117,133,46017,33312,12705,2047,22.5,High,12,44472,7,71,76,125
India,University of India 127,127,13,122,138,116,12983,9897,3086,713,18.2,High,11,19543,25,83,138,127
Brazil,University of Brazil 128,128,13,120,121,129,11477,7045,4432,1001,11.5,High,22,43020,45,68,94,136
Germany,University of Germany 129,129,13,135,114,113,24172,17939,6233,1924,12.6,High,7,56844,77,81,158,123
Canada,University of Canada 130,130,14,137,134,141,15140,10773,4367,844,17.9,High,16,23768,44,68,179,114
Switzerland,University of Switzerland 131,131,14,121,133,140,18274,9846,8428,1025,17.8,High,41,50580,65,70,164,115
Germany,University of Germany 132,132,14,124,133,117,16018,8556,7462,786,20.4,High,41,11200,12,81,167,104
South Korea,University of South Korea 133,133,14,128,125,119,18849,9796,9053,875,21.5,High,20,20363,43,97,119,146
United Kingdom,University of United Kingdom 134,134,14,136,133,150,22121,11996,10125,1171,18.9,High,6,46983,39,85,176,160
China,University of China 135,135,14,127,121,133,46377,25666,20711,2824,16.4,High,11,28272,31,64,141,120
Canada,University of Canada 136,136,14,143,133,138,9480,6852,2628,409,23.2,High,7,27559,78,77,108,143
Netherlands,University of Netherlands 137,137,14,132,134,154,47527,36521,11006,2508,19.0,High,40,21441,29,92,87,129
South Korea,University of South Korea 138,138,14,132,146,148,11180,8704,2476,1027,10.9,High,17,5526,35,89,180,166
Singapore,University of Singapore 139,139,14,139,140,130,33926,23290,10636,2700,12.6,High,15,31979,32,75,113,144
United States,University of United States 140,140,15,140,143,139,15220,10693,4527,1249,12.2,High,40,11436,37,66,92,131
Singapore,University of Singapore 141,141,15,133,153,136,47024,32709,14315,1914,24.6,High,45,7719,43,92,97,160
Italy,University of Italy 142,142,15,137,156,137,32701,22702,9999,1676,19.5,High,43,2313,41,75,108,150
Canada,University of Canada 143,143,15,144,143,131,13752,9110,4642,602,22.8,High,9,7750,30,73,95,150
Switzerland,University of Switzerland 144,144,15,139,133,152,17301,8828,8473,745,23.2,High,18,22505,7,76,179,140
Netherlands,University of Netherlands 145,145,15,152,132,128,54417,41336,13081,3285,16.6,High,30,4555,63,70,141,143
Spain,University of Spain 146,146,15,138,136,135,38247,21362,16885,3101,12.3,High,47,18584,49,69,168,146
Switzerland,University of Switzerland 147,147,15,151,148,162,53151,36774,16377,2928,18.2,High,20,27842,48,98,164,138
France,University of France 148,148,15,144,134,133,42390,21427,20963,2598,16.3,High,23,58227,62,94,187,155
Switzerland,University of Switzerland 149,149,15,140,154,167,36089,22727,13362,1520,23.7,High,40,26859,13,62,189,133
Singapore,University of Singapore 150,150,16,150,149,155,55782,37169,18613,3357,16.6,High,35,25747,24,65,105,178
United States,University of United States 151,151,16,152,140,168,33006,25805,7201,1866,17.7,High,31,38495,59,81,190,177
Brazil,University of Brazil 152,152,16,160,151,142,56653,38393,18260,2515,22.5,High,12,22734,28,83,158,137
Singapore,University of Singapore 153,153,16,153,167,137,46884,28658,18226,2262,20.7,High,17,9352,65,64,195,149
Germany,University of Germany 154,154,16,160,153,155,34049,18804,15245,1682,20.2,High,40,20802,24,97,147,172
United Kingdom,University of United Kingdom 155,155,16,148,141,173,33029,20662,12367,1407,23.5,High,16,25681,51,70,128,178
Switzerland,University of Switzerland 156,156,16,159,169,140,10563,8198,2365,444,23.8,High,20,3193,69,82,194,143
Switzerland,University of Switzerland 157,157,16,163,161,141,25416,19521,5895,1146,22.2,High,45,10542,32,79,119,156
Brazil,University of Brazil 158,158,16,159,164,173,31148,20568,10580,2372,13.1,High,26,59544,65,95,145,152
Japan,University of Japan 159,159,16,150,144,168,45742,34331,11411,2278,20.1,High,8,5386,20,65,183,167
China,University of China 160,160,17,165,158,150,39959,29982,9977,1919,20.8,High,34,49224,62,70,120,152
South Korea,University of South Korea 161,161,17,154,164,151,17370,13251,4119,746,23.3,High,49,33685,49,75,134,160
China,University of China 162,162,17,160,155,143,22301,14913,7388,1364,16.3,High,49,30621,69,86,137,173
Switzerland,University of Switzerland 163,163,17,168,161,181,24961,16591,8370,1772,14.1,High,10,28163,10,75,117,157
Japan,University of Japan 164,164,17,165,155,154,46601,26319,20282,3264,14.3,High,23,33931,78,77,157,177
China,University of China 165,165,17,173,157,146,38046,24407,13639,1950,19.5,High,39,34560,77,94,209,163
Brazil,University of Brazil 166,166,17,163,156,163,40411,21194,19217,2980,13.6,High,10,2744,41,75,122,138
France,University of France 167,167,17,167,155,160,59611,35757,23854,3371,17.7,High,39,47428,71,64,185,163
Germany,University of Germany 168,168,17,158,158,148,12647,9700,2947,519,24.4,High,27,17358,75,63,126,175
Australia,University of Australia 169,169,17,177,174,187,48934,37256,11678,2451,20.0,High,36,54257,8,66,163,171
Switzerland,University of Switzerland 170,170,18,167,176,163,46165,25458,20707,2586,17.9,High,30,55363,20,89,148,159
Italy,University of Italy 171,171,18,162,178,177,34712,21923,12789,1985,17.5,High,18,13059,39,75,132,167
China,University of China 172,172,18,167,185,153,36670,28679,7991,1558,23.5,High,18,16661,71,96,155,190
United States,University of United States 173,173,18,170,164,184,11226,7026,4200,736,15.3,High,29,59474,63,66,133,164
India,University of India 174,174,18,170,163,192,49387,34195,15192,2757,17.9,High,42,32617,61,95,141,178
Netherlands,University of Netherlands 175,175,18,184,165,177,14394,10968,3426,789,18.2,High,45,37266,21,96,165,189
India,University of India 176,176,18,183,172,167,59636,34667,24969,2412,24.7,High,7,15398,19,60,220,179
Brazil,University of Brazil 177,177,18,180,169,186,37197,26333,10864,2693,13.8,High,27,34238,60,69,174,176
Japan,University of Japan 178,178,18,180,192,196,40345,23604,16741,2791,14.5,High,32,11439,39,78,203,182
United States,University of United States 179,179,18,181,166,188,57559,31786,25773,4069,14.1,High,31,44782,5,67,143,180
Spain,University of Spain 180,180,19,173,178,197,19689,11307,8382,1225,16.1,High,39,12627,49,71,165,178
Japan,University of Japan 181,181,19,181,192,174,42026,30909,11117,1687,24.9,High,15,6024,40,70,131,158
South Korea,University of South Korea 182,182,19,185,187,185,41784,22646,19138,1973,21.2,High,21,7602,15,85,192,176
Spain,University of Spain 183,183,19,190,180,201,11635,6204,5431,495,23.5,High,14,50654,54,82,228,192
Spain,University of Spain 184,184,19,184,184,174,28849,15755,13094,1507,19.1,High,41,31668,47,87,186,187
Italy,University of Italy 185,185,19,193,174,173,14615,7365,7250,818,17.9,High,31,44860,7,78,159,196
United Kingdom,University of United Kingdom 186,186,19,195,189,177,14217,10428,3789,581,24.5,High,23,6381,37,62,227,159
United States,University of United States 187,187,19,182,187,181,46487,27255,19232,2159,21.5,High,33,57650,36,63,220,211
Spain,University of Spain 188,188,19,191,181,186,51316,32031,19285,4728,10.9,High,9,47305,16,92,216,207
United Kingdom,University of United Kingdom 189,189,19,179,195,192,49056,29180,19876,2532,19.4,High,40,40572,40,91,192,199
Australia,University of Australia 190,190,20,185,180,201,37322,23338,13984,1590,23.5,High,43,21506,62,74,144,166
Netherlands,University of Netherlands 191,191,20,184,179,196,55005,39015,15990,4146,13.3,High,26,21929,54,82,232,196
Netherlands,University of Netherlands 192,192,20,187,202,175,58054,29661,28393,2493,23.3,High,27,16263,6,85,187,163
France,University of France 193,193,20,189,196,193,38946,22268,16678,2821,13.8,High,40,22816,67,87,161,198
India,University of India 194,194,20,186,200,177,19538,13047,6491,795,24.6,High,6,3447,79,67,191,201
France,University of France 195,195,20,185,201,195,29978,21363,8615,1806,16.6,High,27,58719,46,83,217,222
Germany,University of Germany 196,196,20,198,184,212,14618,8116,6502,585,25.0,High,46,26434,46,73,228,205
United Kingdom,University of United Kingdom 197,197,20,187,208,190,15085,11584,3501,1224,12.3,High,7,47452,42,87,215,220
Japan,University of Japan 198,198,20,200,190,199,30763,18036,12727,1552,19.8,High,16,46576,41,64,229,199
France,University of France 199,199,20,190,209,207,35327,21501,13826,1874,18.9,High,12,27971,7,71,230,209
Japan,University of Japan 200,200,21,193,209,213,13086,10113,2973,1081,12.1,High,15,5448,77,92,160,191
Canada,University of Canada 201,201,21,193,187,195,6037,3526,2511,412,14.7,High,35,16125,51,95,161,186
Netherlands,University of Netherlands 202,202,21,206,189,187,7525,4726,2799,358,21.0,High,33,41590,58,65,222,190
Singapore,University of Singapore 203,203,21,194,216,188,13923,9208,4715,570,24.4,High,11,41703,39,70,168,196
Spain,University of Spain 204,204,21,208,191,218,34014,23575,10439,2367,14.4,High,46,58513,62,77,250,175
India,University of India 205,205,21,196,217,212,5112,2981,2131,465,11.0,High,22,53617,43,97,237,214
India,University of India 206,206,21,214,205,217,53495,31491,22004,2385,22.4,High,43,36025,12,80,165,191
South Korea,University of South Korea 207,207,21,205,215,200,47876,31343,16533,2311,20.7,High,8,5072,60,76,162,235
Canada,University of Canada 208,208,21,204,195,196,45967,34364,11603,2506,18.3,High,24,22017,57,64,232,211
India,University of India 209,209,21,217,197,197,32217,18875,13342,1385,23.3,High,14,46261,9,73,238,208
China,University of China 210,210,22,205,224,200,22232,17762,4470,1575,14.1,High,34,29342,24,61,165,193
Netherlands,University of Netherlands 211,211,22,216,224,199,40557,27165,13392,2366,17.1,High,18,14722,64,77,225,203
Canada,University of Canada 212,212,22,220,204,206,12294,7602,4692,539,22.8,High,33,32923,33,61,198,217
Singapore,University of Singapore 213,213,22,206,216,227,48720,37688,11032,3393,14.4,High,6,20303,28,62,257,230
United States,University of United States 214,214,22,206,219,198,32371,19247,13124,2849,11.4,High,22,18002,50,88,207,185
United States,University of United States 215,215,22,220,226,209,38435,25535,12900,1837,20.9,High,28,14398,57,60,192,238
Japan,University of Japan 216,216,22,223,221,216,58383,43477,14906,3392,17.2,High,8,21205,78,90,184,243
India,University of India 217,217,22,219,205,212,25247,16984,8263,2460,10.3,High,30,46135,11,87,178,218
United States,University of United States 218,218,22,214,204,225,8815,6031,2784,396,22.3,High,37,42469,18,61,193,199
United Kingdom,University of United Kingdom 219,219,22,216,214,206,41619,33092,8527,3722,11.2,High,35,24359,74,84,256,224
India,University of India 220,220,23,228,221,213,38392,30282,8110,1617,23.7,High,27,51337,10,88,174,235
Germany,University of Germany 221,221,23,220,233,225,56744,38183,18561,3060,18.5,High,41,39959,69,87,230,203
Canada,University of Canada 222,222,23,215,213,224,31519,17323,14196,1628,19.4,High,12,9347,34,85,175,233
Singapore,University of Singapore 223,223,23,227,215,233,46775,29119,17656,1908,24.5,High,5,34830,28,72,189,204
Singapore,University of Singapore 224,224,23,222,224,235,23026,18372,4654,1301,17.7,High,47,19884,37,97,214,194
France,University of France 225,225,23,233,227,219,32404,17341,15063,1388,23.3,High,18,35207,46,64,239,242
Switzerland,University of Switzerland 226,226,23,216,219,212,12961,7786,5175,697,18.6,High,17,54752,9,62,210,239
Switzerland,University of Switzerland 227,227,23,227,218,223,5508,4282,1226,339,16.2,High,25,59121,15,95,243,251
Brazil,University of Brazil 228,228,23,228,232,245,55779,42825,12954,4284,13.0,High,11,3647,12,84,254,203
Canada,University of Canada 229,229,23,222,231,230,23160,12727,10433,1420,16.3,High,40,5138,19,81,259,248
China,University of China 230,230,24,238,228,217,45192,35365,9827,2267,19.9,High,20,25794,62,68,203,230
Singapore,University of Singapore 231,231,24,230,235,227,18774,10258,8516,1285,14.6,High,5,29653,72,97,243,222
India,University of India 232,232,24,237,237,212,39130,31076,8054,2417,16.2,High,12,39212,8,72,240,258
United States,University of United States 233,233,24,240,236,236,21942,17549,4393,1734,12.7,High,49,33646,39,62,218,235
Canada,University of Canada 234,234,24,228,222,248,20464,14636,5828,995,20.6,High,49,26005,53,66,195,226
Italy,University of Italy 235,235,24,226,245,253,27915,16125,11790,1821,15.3,High,37,16224,27,76,277,255
Brazil,University of Brazil 236,236,24,233,231,220,24273,19143,5130,1319,18.4,High,44,43803,31,65,226,217
Brazil,University of Brazil 237,237,24,228,231,247,41206,28485,12721,2145,19.2,High,5,6752,31,77,259,256
Australia,University of Australia 238,238,24,247,235,242,38623,30765,7858,2530,15.3,High,8,14573,78,63,251,222
Germany,University of Germany 239,239,24,238,242,238,55467,33413,22054,4932,11.2,High,36,23405,62,80,251,264
India,University of India 240,240,25,248,245,228,55314,36692,18622,3268,16.9,High,13,30566,27,85,215,245
Spain,University of Spain 241,241,25,238,227,242,14138,7328,6810,741,19.1,High,9,54858,68,75,214,241
United Kingdom,University of United Kingdom 242,242,25,244,251,248,9896,6054,3842,826,12.0,High,48,48454,52,94,234,222
Canada,University of Canada 243,243,25,242,236,229,16943,10580,6363,1344,12.6,High,7,33404,7,94,271,221
Brazil,University of Brazil 244,244,25,241,249,261,56739,39750,16989,2595,21.9,High,46,30654,58,60,286,271
Singapore,University of Singapore 245,245,25,243,248,232,29224,19930,9294,1628,18.0,High,48,59631,7,95,263,245
United States,University of United States 246,246,25,236,257,260,13546,8979,4567,562,24.1,High,14,36365,31,89,229,271
Switzerland,University of Switzerland 247,247,25,239,248,253,53675,35490,18185,3651,14.7,High,42,29270,65,81,292,266
Germany,University of Germany 248,248,25,245,261,262,16289,9991,6298,891,18.3,High,9,4645,51,70,228,259
Japan,University of Japan 249,249,25,244,259,266,59541,32968,26573,2934,20.3,High,14,23852,74,97,200,222
Brazil,University of Brazil 250,250,26,244,246,251,23681,17495,6186,2262,10.5,High,22,43499,35,89,291,252
United States,University of United States 251,251,26,246,251,239,15383,7800,7583,1027,15.0,High,33,35744,73,65,217,279
Japan,University of Japan 252,252,26,261,254,261,57662,45882,11780,3782,15.2,High,24,17066,70,90,238,224
France,University of France 253,253,26,247,244,249,52782,29407,23375,3594,14.7,High,12,51254,31,74,237,281
Germany,University of Germany 254,254,26,256,258,272,56720,41363,15357,5499,10.3,High,23,16229,16,70,213,226
Singapore,University of Singapore 255,255,26,259,261,261,24328,14724,9604,1469,16.6,High,43,30949,65,79,222,238
France,University of France 256,256,26,263,257,262,49299,34385,14914,2287,21.6,High,21,6594,72,74,206,254
