university_id,world_rank,2023 RANK,university_name,country_code_iso,country,SIZE,FOCUS,RES.,AGE,STATUS,academic_reputation_score,Academic Reputation Rank,employer_reputation_score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,citations_per_faculty,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,overall_score,student_population,students_to_staff_ratio,international_students_count,gender_ratio,teaching_score,research_environment_score,research_quality_score,industry_impact_score,international_outlook_score,Quality of Education,Alumni Employment,Quality of Faculty,Research_Output_x,publications_count,Influence,citations_count,Score,Latitude,Longitude,city,region,university_type,research_output,student_faculty_ratio,faculty_count,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_rank,country_avg_citations,country_avg_international_ratio,research_productivity_index,female_percentage,male_percentage,subject_field,citations_score,research_output_score,total_students,undergraduate_students,postgraduate_students,faculty_to_student_ratio,international_student_ratio,tuition_fee_usd,acceptance_rate,graduation_rate,Employability_Rank,qs_subject_rank,QS_Rank,THE_Rank,ARWU_Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,web_pages,country_code,h_index,degree_level
92,139,145,University of Groningen,NL,Netherlands,XL,FC,VH,5,A,52.9,148,29.9,326,51.4,304,42.9,311,93.5,159,85.6,140,92.1,67,22.3,372,67.7,214,52.5,31942,28.8,29%,53:47:00,47.5,57.2,94.5,99.9,93.4,363,482,131,97,73,104,93,81.5,52.2434979,5.6343227,Groningen,Europe,Public,Very High,8,"3,724",9,48,67.17744444,47.4,116.2222222,271,23.5,83.86666667,53,47,"General Engineering,Accounting & Finance,Chemical Engineering,Psychology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Sociology,Biological Sciences,Geography,Archaeology,Law,Business & Management,Computer Science,Medicine & Dentistry,Mathematics & Statistics,Education,History, Philosophy & Theology,Languages, Literature & Linguistics,Other Health,Physics & Astronomy,Communication & Media Studies,Chemistry,Politics & International Studies (incl Development Studies)",54.1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,266,587,136,85,http://www.rug.nl/,NL,237,Undergraduate & Postgraduate
93,140,190=,RMIT University,AU,Australia,XL,CO,VH,3,A,38.6,223,49.6,173,5.4,701+,68.6,151,100,37,92.8,102,57.3,267,28.8,277,96.2,43,52.4,32574,24,34%,48:52:00,35.5,36.2,83.2,73.2,92.8,667,1001,304,544,542,1001,673,72.4,-24.7761086,134.755,Melbourne,Oceania,Public,Very High,18,"1,859",21,54,57.36819048,33.99047619,250.1428571,519.8125,23.5,64.2,48,52,Unknown,55.3,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,296.5,1032,119.5,453,Unknown,Unknown,166,Undergraduate & Postgraduate
94,141,133,Nanjing University,CN,China (Mainland),XL,FC,VH,5,A,59.6,123,25.4,378,31.3,504,96.9,42,55.1,334,7.3,701+,26.4,488,23.7,356,39,367=,52.1,36711,16.7,8%,54:46:00,64,61.7,85.3,96.8,61.8,479,563,304,78,109,317,163,78.4,30.047992,-94.3357433,Nanjing,Asia,Public,Very High,11,"3,040",35,12,56.53822857,28.66857143,328.4,574.8823529,12,81.26666667,54,46,"Other Health,Sociology,Economics & Econometrics,Chemistry,Medicine & Dentistry,Archaeology,History, Philosophy & Theology,General Engineering,Business & Management,Biological Sciences,Architecture,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Geography,Physics & Astronomy,Electrical & Electronic Engineering,Accounting & Finance,Psychology,Politics & International Studies (incl Development Studies),Education,Law,Languages, Literature & Linguistics,Art, Performing Arts & Design,Computer Science,Communication & Media Studies,Mathematics & Statistics",66,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,482,351,119.5,96,http://www.nju.edu.cn/,CN,295,Undergraduate & Postgraduate
95,143,161,Aarhus University,DK,Denmark,L,FC,VH,4,A,55.8,140,24.7,387,32.5,490,54.1,238,90.3,181,13.1,661,94.8,56,45.1,156,98.4,18=,52,26996,13.5,9%,56:44:00,44.9,59,86.3,98.7,76.3,589,379,114,83,79,78,121,82.1,55.670249,10.3333283,Aarhus,Europe,Public,Very High,11,683,4,103,63.334375,45.6,143.75,144.75,23.5,81.33333333,56,44,"Education,Psychology,History, Philosophy & Theology,Biological Sciences,Economics & Econometrics,Law,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Communication & Media Studies,Archaeology,Medicine & Dentistry,General Engineering,Physics & Astronomy,Accounting & Finance,Civil Engineering,Veterinary Science,Politics & International Studies (incl Development Studies),Computer Science,Geography,Chemistry,Other Health,Agriculture & Forestry,Art, Performing Arts & Design,Mathematics & Statistics,Business & Management,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Sport Science,Sociology,Languages, Literature & Linguistics",57.3,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,249,304,155,88,http://www.au.dk/,DK,283,Undergraduate & Postgraduate
96,145,125=,Queen Mary University of London,UK,United Kingdom,L,FC,VH,5,A,48.8,168,32.8,300,38.7,409,50.7,260,99.7,85,99.4,43,72.8,184,16.8,506,69.9,207=,51.9,22205,14.6,45%,54:46:00,37.6,42.6,97.9,73.9,98.1,241,907,198,276,223,156,200,78.7,54.7023545,-3.2765753,London,Europe,Public,Very High,9,"2,119",69,1,50.81734058,25.96666667,455.4347826,388.05,48.5,71.46666667,54,46,"Communication & Media Studies,Law,Economics & Econometrics,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,General Engineering,Biological Sciences,Chemistry,Geography,Business & Management,Computer Science,History, Philosophy & Theology,Civil Engineering,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Medicine & Dentistry,Physics & Astronomy,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Veterinary Science,Other Health,Chemical Engineering",73.5,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,109,689,144,166,http://www.qmul.ac.uk/,GB,343,Undergraduate & Postgraduate
97,145,100,Rice University,US,United States,M,FC,VH,5,B,38.7,222,22.9,415,65.9,205,82.5,101,91,176,94.8,89,9.8,671,30,262,42.6,345=,51.9,7318,9.8,26%,42:58:00,56.4,45.6,86.5,73.9,85.8,67,93,77,407,283,163,108,80.4,39.7837304,-100.445882,Houston,North America,Private,Very High,7,996,98,2,56.8432449,31.06530612,362.2653061,265.6666667,23.5,68.66666667,42,58,"Sociology,Business & Management,Computer Science,Sport Science,Architecture,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Languages, Literature & Linguistics,Psychology,General Engineering,Art, Performing Arts & Design,Biological Sciences,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Archaeology,Other Health,Physics & Astronomy,History, Philosophy & Theology,Accounting & Finance,Mechanical & Aerospace Engineering,Civil Engineering,Education,Mathematics & Statistics,Chemistry,Chemical Engineering",99.1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,121,107,115,256,http://www.rice.edu/,US,128,Undergraduate & Postgraduate
98,148,179=,University of Bath,UK,United Kingdom,L,CO,VH,4,A,35.6,244,74.3,88,16.1,701+,61.9,196,96.3,136,81.6,155,59.3,251,26.5,310,48.4,316=,51.8,15280,15.8,31%,45:55:00,34.7,35.1,80.5,65.3,95,667,612,304,475,392,356,327,75.1,54.7023545,-3.2765753,Bath,Europe,Public,Very High,12,"1,339",69,1,50.81734058,25.96666667,455.4347826,388.05,48.5,60.3,45,55,"General Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Sport Science,Sociology,Electrical & Electronic Engineering,Chemical Engineering,Education,Other Health,Chemistry,Psychology,Computer Science,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Economics & Econometrics,Architecture,Biological Sciences,Mathematics & Statistics,Business & Management,Accounting & Finance,Politics & International Studies (incl Development Studies),Civil Engineering",39.9,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,296.5,597,119.5,423,http://www.bath.ac.uk/,GB,177,Undergraduate & Postgraduate
99,151,124,Wageningen University & Research,NL,Netherlands,L,FO,VH,5,A,43.3,196,19,472,97.9,47,46,292,55,336,78.5,170,97.8,22,19,438,71.5,196=,51.3,15899,18.1,28%,54:46:00,56.4,59.8,93.8,98.8,92.4,618.5,609,304,381,388,425.5,405,75,39.7837304,-3.2765753,Wageningen,Europe,Public,Very High,5,"2,767",9,48,67.17744444,47.4,116.2222222,271,23.5,84.13333333,54,46,"Chemical Engineering,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Other Health,Sociology,Communication & Media Studies,Biological Sciences,Politics & International Studies (incl Development Studies),Veterinary Science,Agriculture & Forestry,Chemistry",53,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,414,827,206,159,Unknown,Unknown,338,Undergraduate & Postgraduate
100,154,166,Cardiff University,UK,United Kingdom,L,FC,VH,5,A,46.5,176,48.3,181,33.7,474,39.6,347,84,217,70.6,206,81.6,138,18.9,442,97.9,25,50.5,28815,15,27%,58:42:00,35.5,39.6,91.9,70.4,92.5,338,483,95,212,182,148,121,80.3,54.7023545,-3.2765753,Cardiff,Europe,Public,Very High,9,"3,350",69,1,50.81734058,25.96666667,455.4347826,388.05,48.5,67.3,58,42,"Education,Psychology,Other Health,Archaeology,Geology, Environmental, Earth & Marine Sciences,Law,Business & Management,Politics & International Studies (incl Development Studies),Architecture,Computer Science,Chemistry,History, Philosophy & Theology,Civil Engineering,Geography,Art, Performing Arts & Design,Electrical & Electronic Engineering,Communication & Media Studies,Medicine & Dentistry,Biological Sciences,Accounting & Finance,General Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sociology,Chemical Engineering,Economics & Econometrics,Physics & Astronomy",51.7,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,398,408,91,184,http://www.cardiff.ac.uk/,GB,228,Undergraduate & Postgraduate
101,159,143=,Ghent University,BE,Belgium,XL,FC,VH,5,A,53.4,146,25.2,379,78.9,141,25.1,486,79.6,231,21.2,528,99.8,8,52,124,91.3,84=,50.2,41487,37.6,12%,57:43:00,47.2,59.3,85.3,99.7,65.7,311,685,190,55,68,136,101,81.3,50.6402809,4.6667145,Ghent,Europe,Public,Very High,7,"5,537",3,45,68.01683333,53.9,107.3333333,122.3333333,23.5,81.43333333,57,43,"Accounting & Finance,Education,Economics & Econometrics,General Engineering,Psychology,Archaeology,Computer Science,Sport Science,Business & Management,Mechanical & Aerospace Engineering,Physics & Astronomy,History, Philosophy & Theology,Other Health,Biological Sciences,Geography,Civil Engineering,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Law,Mathematics & Statistics,Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Veterinary Science,Electrical & Electronic Engineering,Communication & Media Studies,Chemistry,Sociology",52.8,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,339,576,192,82,Unknown,Unknown,278,Undergraduate & Postgraduate
102,162,185=,University of Wollongong,AU,Australia,L,FC,VH,3,A,29.7,290,25.1,382,16.3,701+,93.8,60,95.6,146,56,265,72.7,186,17.1,492,92.3,75=,50.1,16328,26.1,22%,55:45:00,36.8,39.3,84,91.4,91.7,667,562,304,410,381,403,363,75,-24.7761086,134.755,Wollongong,Oceania,Public,Very High,13,"1,410",21,54,57.36819048,33.99047619,250.1428571,519.8125,23.5,71.56666667,55,45,"Agriculture & Forestry,Languages, Literature & Linguistics,Medicine & Dentistry,Civil Engineering,Mathematics & Statistics,History, Philosophy & Theology,Psychology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Sociology,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Archaeology,Biological Sciences,Architecture,Other Health,Geography,Law,Geology, Environmental, Earth & Marine Sciences,General Engineering,Economics & Econometrics,Sport Science,Computer Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,Communication & Media Studies,Education,Business & Management",43.5,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,296.5,659,119.5,364,http://www.uow.edu.au/,AU,200,Undergraduate & Postgraduate
103,164,157,Hanyang University,KR,South Korea,L,FC,VH,4,B,49,167,81.3,70,83.5,117,23.3,510,16.9,632,54.3,269,15.6,587,24.8,336,77.7,163=,49.7,19344,13.2,21%,Unknown,45.4,40.4,62,99.4,66.5,667,241,304,194,276,479,460,75.8,36.638392,127.6961188,Seoul,Asia,Private,Very High,7,"3,164",18,62,43.17502778,24.98333333,667.5,605,23.5,67.26666667,54,46,"Sociology,Biological Sciences,Sport Science,Mathematics & Statistics,History, Philosophy & Theology,Chemical Engineering,Psychology,Education,Business & Management,Accounting & Finance,Archaeology,Other Health,Art, Performing Arts & Design,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Law,Computer Science,Architecture,Medicine & Dentistry,Chemistry,Languages, Literature & Linguistics,General Engineering,Communication & Media Studies,Economics & Econometrics,Physics & Astronomy,Civil Engineering",26.9,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,296.5,190,119.5,290,Unknown,Unknown,225,Undergraduate & Postgraduate
104,164,135,Kyushu University,JP,Japan,L,FC,VH,5,A,57.4,132,70,104,85.7,103,23.9,503,14.7,671,25.6,467,32.8,436,15.4,547,77.7,163=,49.7,18220,7.7,13%,28 : 72,55,47.5,51.2,98.4,48.8,508,106,304,124,176,238,363,77.8,36.5748441,139.2394179,Fukuoka City,Asia,Public,Very High,7,"2,761",37,29,35.23782432,24.98108108,1011.972973,567.8518519,23.5,65.7,28,72,"Languages, Literature & Linguistics,General Engineering,Economics & Econometrics,Law,Sociology,Architecture,Medicine & Dentistry,Veterinary Science,Communication & Media Studies,Chemical Engineering,Psychology,Other Health,Sport Science,Geography,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Chemistry,Archaeology,Education,Biological Sciences,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Computer Science,Agriculture & Forestry,Business & Management,Electrical & Electronic Engineering,Mathematics & Statistics,Accounting & Finance,Civil Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",23.2,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,270,119,119.5,232,http://www.kyushu-u.ac.jp/,JP,250,Undergraduate & Postgraduate
105,167,162,University of York,UK,United Kingdom,L,FC,VH,4,A,43.5,194,35.3,275,45,351,40.3,342,88.3,192,78.2,171,79.2,150,19.8,421,97.8,26=,49.4,19505,16.1,31%,56:44:00,42.4,44.8,90.8,66.9,93.1,667,1001,304,362,284,208,174,76.8,54.7023545,-3.2765753,York,Europe,Public,Very High,9,"2,209",69,1,50.81734058,25.96666667,455.4347826,388.05,48.5,67.5,56,44,"General Engineering,Biological Sciences,Physics & Astronomy,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Psychology,History, Philosophy & Theology,Other Health,Business & Management,Chemistry,Archaeology,Mathematics & Statistics,Computer Science,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Education,Law,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Sociology,Economics & Econometrics,Geography",81.9,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,214,558,119.5,288,http://www.york.ac.uk/,GB,140,Undergraduate & Postgraduate
106,168,188,University of Florida,US,United States,XL,FC,VH,5,A,48,171,58.7,137,71.3,180,26.6,467,18.8,604,10.8,699,97.7,24,39,184,95.7,48,49.1,48114,16.7,9%,56:44:00,55.5,56.7,78.3,88.9,50.9,472,485,113,40,44,90,43,83.6,39.7837304,-100.445882,Gainesville,North America,Public,Very High,7,"6,222",98,2,56.8432449,31.06530612,362.2653061,265.6666667,23.5,74.63333333,56,44,"Veterinary Science,Languages, Literature & Linguistics,Law,Geography,Psychology,Politics & International Studies (incl Development Studies),Civil Engineering,Biological Sciences,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Sociology,Accounting & Finance,Medicine & Dentistry,Other Health,Economics & Econometrics,Sport Science,Chemical Engineering,Mathematics & Statistics,Business & Management,Chemistry,Physics & Astronomy,Education,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Communication & Media Studies,Architecture,Computer Science,General Engineering",50.9,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,322,449,135,61,http://www.ufl.edu/,US,210,Undergraduate & Postgraduate
