university_name,year,university_type,publications_count,citations_count,h_index,research_productivity_index,subject_field,female_percentage,male_percentage
Aalborg University,2022,Public,147,919,32,2.94,Engineering & Technology,64.6902814,35.3097186
Aalborg University,2023,Public,2699,35914,195,2.63,Natural Sciences,51.10057175,48.89942825
Aalborg University,2024,Public,4837,64996,234,2.8,Life Sciences & Medicine,57.21213211,42.78786789
Aalborg University,2025,Public,3574,65682,280,2.41,Arts & Humanities,43.9258228,56.0741772
Aalborg University,2026,Public,5642,78823,262,4.29,Life Sciences & Medicine,39.27037046,60.72962954
Aalto University,2016,Public,5105,42410,187,3.68,Arts & Humanities,32,68
Aalto University,2017,Public,3528,80160,211,2.53,Arts & Humanities,34,66
Aalto University,2018,Public,4077,67167,222,2.92,Arts & Humanities,34,66
Aalto University,2019,Public,2836,36961,175,2.03,Social Sciences & Management,35,65
Aalto University,2020,Public,7628,85956,281,5.46,Life Sciences & Medicine,34,66
Aalto University,2021,Public,5923,66911,258,4.24,Natural Sciences,37,63
Aalto University,2022,Public,5566,41527,175,3.99,Social Sciences & Management,37,63
Aalto University,2023,Public,3956,76454,298,3.51,Arts & Humanities,38,62
Aalto University,2024,Public,2688,22987,146,3.73,Arts & Humanities,39,61
Aalto University,2025,Public,4249,56589,219,4.48,Natural Sciences,39,61
Aalto University,2026,Public,9144,87828,328,5.56,Life Sciences & Medicine,39,61
Aarhus University,2016,Public,7998,94259,283,6.05,Natural Sciences,54,46
Aarhus University,2017,Public,3831,22426,163,5.61,Natural Sciences,55,45
Aarhus University,2018,Public,3377,31683,180,4.94,Social Sciences & Management,54,46
Aarhus University,2019,Public,378,21361,123,0.55,Life Sciences & Medicine,54,46
Aarhus University,2020,Public,2962,5456,73,4.34,Arts & Humanities,55,45
Aarhus University,2021,Public,4062,39558,197,5.95,Life Sciences & Medicine,55,45
Aarhus University,2022,Public,3162,21189,167,4.63,Engineering & Technology,55,45
Aarhus University,2023,Public,6348,70293,242,3.96,Life Sciences & Medicine,55,45
Aarhus University,2024,Public,3043,42237,207,1.68,Life Sciences & Medicine,56,44
Aarhus University,2025,Public,4654,70521,298,2.88,Social Sciences & Management,56,44
Aarhus University,2026,Public,3620,138398,366,1.61,Natural Sciences,60,40
Abai Kazakh National Pedagogical University,2017,Public,148,1700,42,2.96,Social Sciences & Management,42.40293505,57.59706495
Abai Kazakh National Pedagogical University,2018,Public,154,2650,51,3.08,Social Sciences & Management,69.43056168,30.56943832
Abai Kazakh National Pedagogical University,2019,Public,149,1076,33,2.98,Life Sciences & Medicine,48.00970196,51.99029804
Abai Kazakh National Pedagogical University,2020,Public,207,1665,46,4.14,Social Sciences & Management,44.46248805,55.53751195
Abai Kazakh National Pedagogical University,2021,Public,211,2662,55,4.22,Arts & Humanities,48.28382363,51.71617637
Abai Kazakh National Pedagogical University,2022,Public,238,3104,54,4.76,Natural Sciences,51.36365138,48.63634862
Abai Kazakh National Pedagogical University,2023,Public,10415,1581,36,6.59,Social Sciences & Management,49.44078395,50.55921605
Abai Kazakh National Pedagogical University,2024,Public,12870,1534,38,8.39,Engineering & Technology,45.87735673,54.12264327
Abai Kazakh National Pedagogical University,2025,Public,10571,1951,41,5.42,Arts & Humanities,35.57245955,64.42754045
Abdelmalek Essaâdi University,2023,Private,28888,96297,300,3.87,Arts & Humanities,50,50
Abdelmalek Essaâdi University,2024,Public,23108,151552,340,2.99,Natural Sciences,52,48
Abdelmalek Essaâdi University,2025,Private,20090,194356,489,2.88,Engineering & Technology,53,47
Abdelmalek Essaâdi University,2026,Public,17241,117447,415,3.04,Engineering & Technology,53,47
Abdul Wali Khan University Mardan,2021,Public,2431,29258,171,3.76,Life Sciences & Medicine,29,71
Abdul Wali Khan University Mardan,2022,Public,2587,32323,195,3.46,Life Sciences & Medicine,49.2908297,50.7091703
Abdul Wali Khan University Mardan,2023,Public,4453,25410,136,4.48,Social Sciences & Management,32,68
Abdul Wali Khan University Mardan,2024,Private,2902,16796,129,3.91,Natural Sciences,26,74
Abdul Wali Khan University Mardan,2025,Public,3202,20846,142,4.2,Engineering & Technology,27,73
Abdul Wali Khan University Mardan,2026,Private,2139,40353,182,2.15,Life Sciences & Medicine,27,73
Abdullah Gül University,2026,Public,487,4170,64,2.65,Social Sciences & Management,50,50
Aberystwyth University,2016,Public,2718,25607,144,3.77,Natural Sciences,48,52
Aberystwyth University,2017,Public,934,16496,113,1.81,Natural Sciences,47,53
Aberystwyth University,2018,Public,843,18183,153,1.63,Arts & Humanities,47,53
Aberystwyth University,2019,Public,1766,11193,89,3.42,Natural Sciences,47,53
Aberystwyth University,2020,Public,2362,4269,60,4.58,Natural Sciences,49,51
Aberystwyth University,2021,Public,1278,11780,90,2.48,Social Sciences & Management,51,49
Aberystwyth University,2022,Public,1190,17950,127,2.31,Arts & Humanities,52,48
Aberystwyth University,2023,Public,1274,7389,99,3.38,Life Sciences & Medicine,52,48
Aberystwyth University,2024,Public,850,6074,63,3.27,Arts & Humanities,51,49
Aberystwyth University,2025,Public,490,6671,77,1.03,Arts & Humanities,50,50
Aberystwyth University,2026,Public,1027,7620,88,2.57,Arts & Humanities,52,48
Abo Akademi University,2017,Public,1242,14052,107,2.45,Life Sciences & Medicine,61.57023766,38.42976234
Abo Akademi University,2018,Public,2832,9939,102,5.59,Social Sciences & Management,55.58398755,44.41601245
Abo Akademi University,2019,Public,2048,23766,154,4.04,Natural Sciences,45.48764309,54.51235691
Abo Akademi University,2020,Public,946,26878,194,1.87,Arts & Humanities,44.33438476,55.66561524
Abo Akademi University,2021,Public,1684,39768,198,3.32,Engineering & Technology,56.38186595,43.61813405
Abo Akademi University,2022,Public,1772,33424,185,3.5,Arts & Humanities,30.58938883,69.41061117
Abo Akademi University,2023,Public,4561,47477,229,3.34,Natural Sciences,43.53934941,56.46065059
Abo Akademi University,2024,Public,6935,57783,247,3.97,Engineering & Technology,61.27446402,38.72553598
Abo Akademi University,2025,Public,9196,61851,244,6.74,Social Sciences & Management,52.37453983,47.62546017
Abo Akademi University,2026,Public,1719,36827,202,3.03,Natural Sciences,43.93071078,56.06928922
Abu Dhabi University,2017,Private,713,6985,77,2.98,Natural Sciences,40.3833326,59.6166674
Abu Dhabi University,2018,Private,906,5680,73,3.79,Social Sciences & Management,56.71787734,43.28212266
Abu Dhabi University,2019,Private,821,8234,97,3.44,Natural Sciences,50.62249077,49.37750923
Abu Dhabi University,2020,Private,703,9967,107,2.94,Engineering & Technology,48.25031632,51.74968368
Abu Dhabi University,2021,Private,858,10365,135,3.59,Engineering & Technology,52.99184446,47.00815554
Abu Dhabi University,2022,Private,805,8669,92,3.37,Life Sciences & Medicine,51.3167844,48.6832156
Abu Dhabi University,2023,Private,964,929,33,5.3,Arts & Humanities,51,49
Abu Dhabi University,2024,C,1259,2821,52,3.18,Social Sciences & Management,51,49
Abu Dhabi University,2025,C,893,1327,27,5.28,Life Sciences & Medicine,50,50
Abu Dhabi University,2026,Private for Profit,581,5081,65,3.16,Arts & Humanities,50,50
Abylkas Saginov Karaganda Technical University,2026,Public,3777,974,28,4.42,Social Sciences & Management,54.47321147,45.52678853
Academician Y.A. Buketov Karaganda University,2017,Private,200,1272,37,4,Arts & Humanities,53.05695941,46.94304059
Academician Y.A. Buketov Karaganda University,2018,Private,132,1486,40,2.64,Arts & Humanities,45.3078987,54.6921013
Academician Y.A. Buketov Karaganda University,2019,Private,189,804,30,3.78,Arts & Humanities,56.12151943,43.87848057
Academician Y.A. Buketov Karaganda University,2020,Private,199,1080,28,3.98,Engineering & Technology,47.03404151,52.96595849
Academician Y.A. Buketov Karaganda University,2021,Private,277,1375,42,5.54,Engineering & Technology,60.41226769,39.58773231
Academician Y.A. Buketov Karaganda University,2022,Private,191,1919,36,3.82,Arts & Humanities,44.02541608,55.97458392
Academician Y.A. Buketov Karaganda University,2023,Private,5916,1235,38,5.81,Natural Sciences,45.79769891,54.20230109
Acharya Nagarjuna University,2017,Public,559,3744,55,1.9,Social Sciences & Management,27,73
Acharya Nagarjuna University,2019,Public,691,7474,81,2.29,Arts & Humanities,35,65
Acharya Nagarjuna University,2020,Public,579,4308,56,2.4,Life Sciences & Medicine,36,64
Acharya Nagarjuna University,2021,Private,1488,5966,85,4.8,Engineering & Technology,37,63
Acharya Nagarjuna University,2022,Public,1456,4767,73,3.94,Life Sciences & Medicine,37,63
Acharya Nagarjuna University,2023,Public,1195,5110,63,3.42,Natural Sciences,38,62
Acharya Nagarjuna University,2024,Private,1701,11640,116,4.1,Arts & Humanities,32,68
Acharya Nagarjuna University,2025,Public,768,6507,91,1.47,Natural Sciences,32,68
Acharya Nagarjuna University,2026,Private,810,7449,81,2.67,Life Sciences & Medicine,32,68
Acıbadem University,2020,Public,440,2789,53,2.86,Social Sciences & Management,74,26
Acıbadem University,2021,Private,314,1230,34,1.73,Life Sciences & Medicine,75,25
Acıbadem University,2022,Public,156,1519,47,0.9,Life Sciences & Medicine,74,26
Acıbadem University,2023,Public,174,1160,25,1.63,Social Sciences & Management,74,26
Acıbadem University,2024,Public,862,5782,74,3.2,Engineering & Technology,73,27
Acıbadem University,2025,Private,1068,2955,48,3.57,Natural Sciences,74,26
Acıbadem University,2026,Public,1209,8794,96,2.93,Engineering & Technology,73,27
Adam Mickiewicz University,2026,Public,3991,8596,99,2.68,Social Sciences & Management,38.50481048,61.49518952
"Adam Mickiewicz University, Poznan",2025,Public,5746,4088,50,3.33,Natural Sciences,43.80341148,56.19658852
"Adam Mickiewicz University, Poznań",2016,Public,9145,34808,167,2.73,Life Sciences & Medicine,71,29
"Adam Mickiewicz University, Poznań",2017,Public,8599,63183,245,2.59,Arts & Humanities,71,29
"Adam Mickiewicz University, Poznań",2018,Public,298,626,22,5.96,Engineering & Technology,69,31
"Adam Mickiewicz University, Poznań",2019,Public,160,785,28,3.2,Social Sciences & Management,70,30
"Adam Mickiewicz University, Poznań",2020,Public,127,571,26,2.54,Social Sciences & Management,69,31
"Adam Mickiewicz University, Poznań",2021,Public,164,1279,32,3.28,Social Sciences & Management,69,31
"Adam Mickiewicz University, Poznań",2022,Public,252,615,22,5.04,Arts & Humanities,69,31
"Adam Mickiewicz University, Poznań",2023,Public,4929,8130,83,2.41,Life Sciences & Medicine,68,32
"Adam Mickiewicz University, Poznań",2024,Public,6704,10240,107,3.7,Arts & Humanities,68,32
"Adam Mickiewicz University, Poznań",2025,Public,8257,30287,173,4.03,Life Sciences & Medicine,68,32
"Adam Mickiewicz University, Poznań",2026,Public,7089,63254,298,3.16,Life Sciences & Medicine,68,32
Adamson University,2026,Private for Profit,5649,1679,40,3.88,Life Sciences & Medicine,62.39115687,37.60884313
Adana Alparslan Türkeş Science and Technology University,2025,Private,292,4638,61,0.83,Natural Sciences,42,58
Adana Alparslan Türkeş Science and Technology University,2026,Public,1458,4806,63,3.64,Social Sciences & Management,43,57
Addis Ababa University,2022,Public,9804,120947,362,3.54,Natural Sciences,33,67
Addis Ababa University,2023,Public,10781,83504,327,3.54,Engineering & Technology,29,71
Addis Ababa University,2024,Public,9246,4119,57,2.93,Engineering & Technology,44.30458354,55.69541646
Addis Ababa University,2025,Public,33560,9691,87,6.8,Social Sciences & Management,43.9990224,56.0009776
Addis Ababa University,2026,Public,3766,3850,68,1.86,Natural Sciences,59.19368113,40.80631887
Adelaide University,2026,Private,8572,275352,562,2.42,Arts & Humanities,55,45
Adelphi University,2024,Public,2031,13892,123,2.96,Arts & Humanities,70,30
Adelphi University,2025,Public,1713,12768,101,2.98,Engineering & Technology,71,29
Adelphi University,2026,Private,468,4892,81,1.62,Arts & Humanities,70,30
Adolfo Ibáñez University,2021,Private,3085,8152,97,3.7,Social Sciences & Management,38,62
Adolfo Ibáñez University,2022,Public,1830,4925,72,2.24,Engineering & Technology,38,62
Adolfo Ibáñez University,2023,Private,2415,9745,96,3.02,Life Sciences & Medicine,38,62
Adolfo Ibáñez University,2024,Public,2561,20588,150,3.24,Natural Sciences,38,62
Adolfo Ibáñez University,2025,Public,3536,16174,151,3.6,Natural Sciences,38,62
Adolfo Ibáñez University,2026,Private,2555,8916,98,3.51,Natural Sciences,38,62
Adıyaman University,2026,Public,2281,7944,76,2.31,Natural Sciences,33,67
Afe Babalola University,2024,Private,1670,13132,129,2.64,Life Sciences & Medicine,57,43
Afyon Kocatepe University,2025,Private,5857,35083,179,2.62,Social Sciences & Management,50,50
Afyon Kocatepe University,2026,Public,6010,35378,187,3.39,Natural Sciences,50,50
Afyonkarahisar Health Sciences University,2026,Public,619,5992,73,1.61,Engineering & Technology,66,34
Aga Khan University,2026,Private not for Profit,2676,7194,86,4.35,Life Sciences & Medicine,53.64559779,46.35440221
Ahlia University,2023,Private,1965,952,22,4.52,Engineering & Technology,57.01248557,42.98751443
Ahlia University,2024,Private,3503,2041,44,6.06,Social Sciences & Management,64.96967561,35.03032439
Ahlia University,2025,Private,2285,2155,41,3.55,Engineering & Technology,46.34167188,53.65832812
Ahlia University,2026,Private not for Profit,1488,2259,49,6.73,Engineering & Technology,51.56683204,48.43316796
Ahmadu Bello University,2025,Private,8666,94744,352,3.06,Arts & Humanities,37,63
Ahmadu Bello University,2026,Public,1316,61600,265,0.46,Engineering & Technology,37,63
"Ahmadu Bello University, Zaria",2026,Public,8370,5153,91,3.82,Engineering & Technology,51.46973314,48.53026686
Ahvaz Jundishapur University of Medical Sciences,2022,Public,1468,18999,143,2.83,Arts & Humanities,60,40
Ahvaz Jundishapur University of Medical Sciences,2023,Public,4562,46282,227,3.21,Life Sciences & Medicine,60,40
Ahvaz Jundishapur University of Medical Sciences,2024,Private,1943,14270,120,3.74,Natural Sciences,67,33
Ahvaz Jundishapur University of Medical Sciences,2026,Public,5449,30861,173,4.59,Natural Sciences,56,44
Aichi Medical University,2019,Public,441,1214,41,5.51,Life Sciences & Medicine,60,40
Aichi Medical University,2020,Public,320,3135,59,1.78,Engineering & Technology,58,42
Aichi Medical University,2021,Private,441,1940,50,4.16,Life Sciences & Medicine,59,41
Aichi Medical University,2022,Private,346,2075,46,3.33,Life Sciences & Medicine,58,42
Aichi Medical University,2023,Public,182,1607,37,1.5,Natural Sciences,57,43
Aichi Medical University,2024,Public,418,1752,33,4.02,Life Sciences & Medicine,58,42
Aichi Medical University,2025,Public,350,1796,47,4.93,Life Sciences & Medicine,60,40
Aichi Medical University,2026,Public,284,3095,61,2.47,Arts & Humanities,58,42
Ain Shams University,2017,Public,110,480,23,2.2,Engineering & Technology,59,41
Ain Shams University,2018,Public,222,1047,34,4.44,Natural Sciences,61,39
Ain Shams University,2019,Public,135,1112,35,2.7,Engineering & Technology,52,48
Ain Shams University,2020,Public,138,905,33,2.76,Natural Sciences,54,46
Ain Shams University,2021,Public,55,1579,40,1.1,Social Sciences & Management,49,51
Ain Shams University,2022,Public,120,561,24,2.4,Life Sciences & Medicine,56,44
Ain Shams University,2023,Public,20435,17203,130,2.35,Life Sciences & Medicine,53,47
Ain Shams University,2024,Public,40851,8273,88,4.94,Life Sciences & Medicine,52,48
Ain Shams University,2025,Public,19618,16248,149,1.59,Arts & Humanities,50,50
Ain Shams University,2026,Public,47348,26155,160,3.36,Engineering & Technology,52,48
Air University,2024,Private,1814,7955,100,3.4,Social Sciences & Management,34,66
Air University,2025,Private,1385,20931,122,2.14,Arts & Humanities,37,63
Air University,2026,Public,4560,23031,147,6.49,Life Sciences & Medicine,35,65
Airlangga University,2017,Public,236,782,29,4.72,Social Sciences & Management,61.91214128,38.08785872
Airlangga University,2018,Public,171,1587,39,3.42,Engineering & Technology,51.48889165,48.51110835
Airlangga University,2019,Public,287,1767,42,5.74,Social Sciences & Management,66.88898721,33.11101279
Airlangga University,2020,Public,106,2870,54,2.12,Life Sciences & Medicine,45.95159822,54.04840178
Airlangga University,2021,Public,272,3710,58,5.44,Arts & Humanities,60.25555218,39.74444782
Airlangga University,2022,Public,33,974,30,0.66,Social Sciences & Management,49.99874583,50.00125417
Airlangga University,2023,Public,2320,1478,37,1.57,Engineering & Technology,71.2538268,28.7461732
Airlangga University,2024,Public,5206,3957,70,1.7,Life Sciences & Medicine,47.74719396,52.25280604
Airlangga University,2025,Public,7107,1738,43,4.09,Arts & Humanities,74.0133491,25.9866509
Aix-Marseille University,2016,Public,11555,91394,291,3.07,Social Sciences & Management,61,39
Aix-Marseille University,2017,Public,203,1844,43,4.06,Engineering & Technology,60,40
Aix-Marseille University,2018,Public,171,1259,39,3.42,Social Sciences & Management,58,42
Aix-Marseille University,2019,Public,119,879,34,2.38,Life Sciences & Medicine,58,42
Aix-Marseille University,2020,Public,116,948,31,2.32,Life Sciences & Medicine,59,41
Aix-Marseille University,2021,Public,223,2361,49,4.46,Engineering & Technology,59,41
Aix-Marseille University,2022,Public,246,1248,36,4.92,Arts & Humanities,59,41
Aix-Marseille University,2023,Public,6644,114608,242,1.61,Engineering & Technology,60,40
Aix-Marseille University,2024,Public,21600,79143,297,4.5,Social Sciences & Management,60,40
Aix-Marseille University,2025,Public,9183,84608,333,1.6,Engineering & Technology,60,40
Aix-Marseille University,2026,Public,6188,53515,205,2.32,Arts & Humanities,45.39844064,54.60155936
Ajman University,2019,Private,1199,8712,86,3.96,Life Sciences & Medicine,50.99883337,49.00116663
Ajman University,2020,Private,485,5811,73,1.6,Social Sciences & Management,31.32531345,68.67468655
Ajman University,2021,Private,1045,14984,144,3.45,Social Sciences & Management,57.92138932,42.07861068
Ajman University,2022,Private,1267,16338,140,4.18,Social Sciences & Management,63.55153363,36.44846637
Ajman University,2023,Private,6991,1682,39,6.97,Arts & Humanities,51.52502439,48.47497561
Ajman University,2024,C,1046,903,33,2.92,Natural Sciences,37.15182229,62.84817771
Ajman University,2025,C,1128,1053,30,2.84,Social Sciences & Management,57,43
Ajman University,2026,Private not for Profit,652,2275,53,2.55,Arts & Humanities,57,43
Ajou University,2016,Private,3748,17314,153,3.63,Natural Sciences,33,67
Ajou University,2017,Private,167,1176,38,3.34,Natural Sciences,35,65
Ajou University,2018,Private,148,816,28,2.96,Engineering & Technology,34,66
Ajou University,2019,Private,192,1822,34,3.84,Arts & Humanities,36,64
Ajou University,2020,Private,133,1229,35,2.66,Engineering & Technology,51.17104512,48.82895488
Ajou University,2021,Private,161,1213,33,3.22,Natural Sciences,51.38689288,48.61310712
Ajou University,2022,Private,202,1053,38,4.04,Natural Sciences,55.894323,44.105677
Ajou University,2023,Private,1121,5520,72,2.36,Arts & Humanities,42,58
Ajou University,2024,Private,1625,9747,94,3.1,Natural Sciences,41,59
Ajou University,2025,Private,2585,6851,89,4.87,Social Sciences & Management,40,60
Ajou University,2026,Private not for Profit,1316,12981,107,3.13,Social Sciences & Management,39,61
Akdeniz University,2018,Public,9066,29931,193,3.8,Arts & Humanities,45,55
Akdeniz University,2019,Public,10570,53016,223,3.33,Arts & Humanities,55,45
Akdeniz University,2020,Private,2367,16325,131,0.93,Arts & Humanities,45,55
Akdeniz University,2021,Public,6422,41431,221,2.11,Natural Sciences,35,65
Akdeniz University,2022,Public,6297,30516,213,2.29,Life Sciences & Medicine,38,62
Akdeniz University,2023,Public,7278,32227,173,2.13,Life Sciences & Medicine,33,67
Akdeniz University,2024,Private,9148,78788,249,2.65,Arts & Humanities,45,55
Akdeniz University,2025,Private,14640,71916,217,4.1,Arts & Humanities,44,56
Akdeniz University,2026,Public,13290,62734,237,5.37,Natural Sciences,54,46
Akdeniz Üniversitesi,2022,Public,8367,40480,217,4.84,Social Sciences & Management,46.53113609,53.46886391
Akdeniz Üniversitesi,2023,Public,9676,6567,80,3.38,Engineering & Technology,56.42867844,43.57132156
Akdeniz Üniversitesi,2024,Public,7961,8503,92,2.18,Engineering & Technology,51.02730316,48.97269684
Akdeniz Üniversitesi,2025,Public,19535,15704,106,2.99,Natural Sciences,50.9881397,49.0118603
Akdeniz Üniversitesi,2026,Public,7937,15274,111,3.02,Social Sciences & Management,29.6495896,70.3504104
Akita University,2018,Public,1233,3556,56,3.42,Arts & Humanities,35,65
Akita University,2019,Public,653,4077,61,1.93,Life Sciences & Medicine,35,65
Akita University,2020,Private,975,3911,69,2.29,Arts & Humanities,35,65
Akita University,2021,Public,1669,4271,65,3.12,Arts & Humanities,35,65
Akita University,2022,Private,936,3909,58,3.11,Life Sciences & Medicine,36,64
Akita University,2023,Private,1277,6190,77,3.28,Natural Sciences,36,64
Akita University,2024,Private,1045,5415,79,3.06,Life Sciences & Medicine,35,65
Akita University,2025,Public,915,5109,66,2.34,Life Sciences & Medicine,35,65
Akita University,2026,Private,881,5466,73,2.44,Life Sciences & Medicine,36,64
Aksaray University,2021,Public,4119,12872,95,2.22,Social Sciences & Management,45,55
Aksaray University,2022,Public,6390,23918,160,2.95,Life Sciences & Medicine,46,54
Aksaray University,2023,Private,2878,12148,101,2.14,Natural Sciences,48,52
Aksaray University,2024,Private,4270,14551,118,2.54,Life Sciences & Medicine,49,51
Aksaray University,2025,Public,4111,14744,144,2.93,Arts & Humanities,49,51
Aksaray University,2026,Private,415,16130,123,0.39,Engineering & Technology,56,44
Al Ain University,2022,Private,1681,8670,93,8.66,Life Sciences & Medicine,56.86707758,43.13292242
Al Ain University,2023,Private,4607,3193,57,4.72,Life Sciences & Medicine,57.51935622,42.48064378
Al Ain University,2024,Private,996,1398,38,2.8,Natural Sciences,68.65586957,31.34413043
Al Ain University,2025,Private,508,967,32,2.37,Arts & Humanities,52,48
Al Ain University,2026,Private not for Profit,536,3155,50,3.41,Natural Sciences,51,49
Al Akhawayn University Ifrane,2019,Public,732,1771,47,5.15,Social Sciences & Management,54.49712211,45.50287789
Al Azhar University,2026,Public,8200,5233,71,2.97,Arts & Humanities,48.53629969,51.46370031
Al Imam Mohammad Ibn Saud Islamic University,2017,Public,4555,138221,338,1.03,Social Sciences & Management,45.32076448,54.67923552
Al Imam Mohammad Ibn Saud Islamic University,2018,Public,13648,89358,287,3.07,Natural Sciences,42.59373411,57.40626589
Al Imam Mohammad Ibn Saud Islamic University,2019,Public,13137,165800,393,2.96,Engineering & Technology,22.57875577,77.42124423
Al Imam Mohammad Ibn Saud Islamic University,2020,Public,10895,77090,280,2.45,Social Sciences & Management,55.87871544,44.12128456
Al Jouf University,2026,Public,4467,4465,63,5.38,Arts & Humanities,36.89621014,63.10378986
Al Nahrain University,2026,Public,4068,3741,57,3.49,Social Sciences & Management,42.96117245,57.03882755
Al Quds University The Arab University in Jerusalem,2022,Public,2072,22759,148,2.71,Social Sciences & Management,52.33954873,47.66045127
Al Quds University The Arab University in Jerusalem,2023,Public,7785,1897,47,4.52,Arts & Humanities,47.42794564,52.57205436
Al Quds University The Arab University in Jerusalem,2024,Public,2011,615,25,3.53,Social Sciences & Management,67.19437799,32.80562201
Al Zaytoonah University,2026,Private not for Profit,2688,5521,70,2.88,Social Sciences & Management,37.92608022,62.07391978
Al al-Bayt University,2025,Private,2243,35979,163,1.77,Life Sciences & Medicine,60,40
Al al-Bayt University,2026,Public,6936,64588,262,4.55,Social Sciences & Management,62,38
Al-Ahliyya Amman University,2024,Private,10112,2093,47,4.83,Arts & Humanities,57.27277108,42.72722892
Al-Ahliyya Amman University,2025,Private,818,627,25,3.33,Natural Sciences,49,51
Al-Ahliyya Amman University,2026,Private not for Profit,1659,1318,37,5.22,Natural Sciences,52,48
Al-Azhar University,2017,Public,30512,668848,696,1.61,Life Sciences & Medicine,36.37397602,63.62602398
Al-Azhar University,2018,Public,74410,307750,570,3.93,Social Sciences & Management,54.11881345,45.88118655
Al-Azhar University,2019,Public,55588,157066,435,2.94,Arts & Humanities,44,56
Al-Azhar University,2020,Public,52697,197040,473,2.6,Social Sciences & Management,45,55
Al-Azhar University,2021,Public,67042,228684,587,3.54,Arts & Humanities,44,56
Al-Azhar University,2022,Public,81151,491194,843,4.29,Engineering & Technology,40,60
Al-Azhar University,2023,Public,93825,34880,199,2.82,Arts & Humanities,38,62
Al-Azhar University,2024,Public,46897,16389,145,2.86,Life Sciences & Medicine,42,58
Al-Azhar University,2025,Public,38673,14652,97,2.64,Arts & Humanities,42,58
Al-Azhar University,2026,Public,60979,652524,895,2.95,Engineering & Technology,41,59
Al-Baha University,2025,Public,3720,58259,261,2.43,Arts & Humanities,57,43
Al-Baha University,2026,Public,4851,16038,148,5.28,Social Sciences & Management,55,45
Al-Balqa Applied University,2020,Public,10396,76322,345,3.49,Natural Sciences,55,45
Al-Balqa Applied University,2021,Public,7914,33682,178,4.21,Arts & Humanities,59,41
Al-Balqa Applied University,2022,Public,2752,31421,162,1.99,Arts & Humanities,59,41
Al-Balqa Applied University,2023,Public,21004,7742,87,4.94,Social Sciences & Management,59,41
Al-Balqa Applied University,2024,Public,3864,3231,51,2.56,Engineering & Technology,59,41
Al-Balqa Applied University,2025,Public,21189,7440,88,4.39,Social Sciences & Management,59,41
Al-Balqa Applied University,2026,Public,13651,26637,146,3.38,Social Sciences & Management,58,42
Al-Farabi Kazakh National University,2017,Public,13318,172275,376,3.29,Engineering & Technology,50.55461524,49.44538476
Al-Farabi Kazakh National University,2018,Public,20267,164124,385,5.01,Engineering & Technology,45.67787001,54.32212999
Al-Farabi Kazakh National University,2019,Public,15990,202834,460,3.95,Natural Sciences,56,44
Al-Farabi Kazakh National University,2020,Public,21175,182520,434,5.23,Arts & Humanities,55,45
