university_id,university_name,world_rank,national_rank,year,country,region,city,overall_score,academic_reputation_score,employer_reputation_score,citations_score,university_type,publications_count,subject_field,citations_count,citations_per_faculty,research_output_score,h_index,research_productivity_index,total_students,international_students_count,international_student_ratio,faculty_count,faculty_to_student_ratio,female_percentage,male_percentage,degree_level,undergraduate_count,postgraduate_count,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio
100031,Cambridge International University,142,4,2020,United Kingdom,Europe,Cambridge,90.07,98.6,100,100,Private,110348,Social Sciences,1875916,1730.55,92,237,5.26,59017,18701,31.69,2664,13.09,49,51,Postgraduate,35027,23990,488.1,101,1,75.5,75.6,75.1,22.23
100032,Nanjing International University,355,5,2020,China,Asia,Nanjing,75.14,100,100,98.3,Private,4719,Social Sciences,117975,22.6,90.3,169,4.26,47697,14540,30.48,2578,8.75,40,60,Postgraduate,42876,4821,447.1,106,9,77.6,77.7,77.1,23.52
100033,Shanghai Royal University,828,2,2020,China,Asia,Shanghai,42.09,100,100,98.5,Private,61614,Business,800982,260.4,94,139,8.26,31488,8481,26.93,309,17.1,56,44,Undergraduate,26899,4589,447.1,106,9,77.6,77.7,77.1,23.52
100034,Heidelberg State University,76,2,2020,Germany,Europe,Heidelberg,94.73,100,92,100,Private,81806,Engineering,1881538,297.99,93.3,362,0.61,31738,1577,4.97,2140,8.13,61,39,Both,27596,4142,510.9,109,6,74.3,74.1,73.9,24.02
100035,Singapore State University,556,2,2020,Singapore,Asia,Singapore,61.13,97.3,100,98.6,Private,117255,Arts & Humanities,1876080,247.57,92.4,292,3.22,56623,16687,29.47,2488,12.83,61,39,Both,31193,25430,455.8,123,12,77.3,77.2,77.8,24.59
100036,Chennai Technical University,409,2,2020,India,Asia,Chennai,71.42,100,95.5,97.3,Public,114199,Business,3882766,4530.65,97.1,322,6.14,58176,12542,21.56,3462,18.81,56,44,Undergraduate,48131,10045,507.5,86,7,74.5,74.2,74.4,21.8
100037,Singapore Royal University,49,2,2020,Singapore,Asia,Singapore,96.62,99.3,92.3,97.2,Private,36737,Arts & Humanities,1065373,190.08,100,412,1.14,26532,11098,41.83,4671,24.53,47,53,Both,23452,3080,455.8,123,12,77.3,77.2,77.8,24.59
100038,Manchester National University,180,2,2020,United Kingdom,Europe,Manchester,87.45,99.8,100,88.8,Public,106352,Computer Science,1169872,402.99,95.9,300,1.66,39810,13552,34.04,4936,21.75,56,44,Undergraduate,32938,6872,488.1,101,1,75.5,75.6,75.1,22.23
100039,Singapore Technical University,95,2,2020,Singapore,Asia,Singapore,93.4,100,98.2,94.5,Private,73643,Computer Science,1325574,1199.61,97.9,256,8.4,24605,10518,42.75,3775,21.16,57,43,Postgraduate,15686,8919,455.8,123,12,77.3,77.2,77.8,24.59
100040,Munich Royal University,545,2,2020,Germany,Europe,Munich,61.9,97.8,100,100,Private,8428,Social Sciences,328692,44.89,100,226,6.71,20081,5822,28.99,2094,6.31,55,45,Both,12380,7701,510.9,109,6,74.3,74.1,73.9,24.02
100041,Singapore Metropolitan University,658,1,2020,Singapore,Asia,Singapore,54.01,94.8,95.6,100,Private,25021,Arts & Humanities,500420,316.32,100,267,4.75,64866,8980,13.84,1647,7.4,43,57,Postgraduate,56428,8438,455.8,123,12,77.3,77.2,77.8,24.59
100042,Brisbane Royal University,18,1,2020,Australia,Oceania,Brisbane,98.81,100,97.6,100,Private,3824,Engineering,91776,18.75,94.5,268,5.88,49062,8640,17.61,5088,8.29,47,53,Both,41106,7956,500.4,107,2,75,74.9,74.2,22.7
100043,Manchester Royal University,508,1,2020,United Kingdom,Europe,Manchester,64.51,94.6,91.2,89.2,Private,66569,Natural Sciences,998535,770.47,94.7,355,1.59,34729,6128,17.65,5792,19.29,65,35,Both,28133,6596,488.1,101,1,75.5,75.6,75.1,22.23
100044,Munich Royal University,809,2,2020,Germany,Europe,Munich,43.42,96.1,92.4,93.9,Private,91873,Engineering,2848063,574.21,100,410,3.37,31092,4570,14.7,1854,28.98,65,35,Both,18429,12663,510.9,109,6,74.3,74.1,73.9,24.02
100045,Vancouver State University,131,3,2020,Canada,North America,Vancouver,90.86,99.6,100,100,Public,32539,Engineering,943631,137.9,94.1,385,0.52,61256,4791,7.82,1364,26.8,52,48,Both,39064,22192,494.1,84,24,75.2,75,76.3,20.03
100046,Montreal National University,698,3,2020,Canada,North America,Montreal,51.17,98.9,100,98.2,Private,103976,Business,3223256,685.22,100,311,4.53,66958,20205,30.18,655,27.81,58,42,Both,55182,11776,494.1,84,24,75.2,75,76.3,20.03
100047,Singapore National University,130,3,2020,Singapore,Asia,Singapore,90.93,93.7,94.5,100,Public,73874,Business,2068472,571.4,100,351,2.86,38131,14146,37.1,1112,6.61,60,40,Postgraduate,30337,7794,455.8,123,12,77.3,77.2,77.8,24.59
100048,Kyoto Royal University,309,3,2020,Japan,Asia,Kyoto,78.4,93.6,100,88.4,Private,111022,Social Sciences,1443286,1142.74,96.1,270,6.99,41462,2015,4.86,5104,18.9,65,35,Undergraduate,30953,10509,509.2,90,3,74.6,75,75.3,21.83
100049,Beijing Metropolitan University,20,3,2020,China,Asia,Beijing,98.63,96,100,93.2,Public,74910,Natural Sciences,2322210,1611.53,99.8,373,2.31,33122,13897,41.96,4895,20.73,59,41,Both,27704,5418,447.1,106,9,77.6,77.7,77.1,23.52
100050,Beijing State University,126,3,2020,China,Asia,Beijing,91.21,96.8,92,100,Public,6018,Engineering,78234,11.83,98.2,272,3.86,27340,2628,9.61,3331,20.77,44,56,Undergraduate,21941,5399,447.1,106,9,77.6,77.7,77.1,23.52
100051,Lyon Technical University,985,3,2020,France,Europe,Lyon,31.08,96.4,93.8,88.5,Public,90895,Arts & Humanities,4090275,911.79,96.7,237,0.86,30903,9869,31.94,748,26.21,35,65,Undergraduate,19207,11696,536.5,85,11,73,73.2,72.3,21.62
100052,Osaka Royal University,803,3,2020,Japan,Asia,Osaka,43.82,100,100,88.8,Private,114953,Medicine,1149530,282.23,90.7,119,7.4,42732,14116,33.03,4997,15.35,47,53,Undergraduate,34114,8618,509.2,90,3,74.6,75,75.3,21.83
100053,Beijing Technical University,540,3,2020,China,Asia,Beijing,62.23,97.2,96.7,94.2,Private,42668,Medicine,1237372,534.5,94,166,1.11,46499,3786,8.14,4646,10.58,51,49,Both,28730,17769,447.1,106,9,77.6,77.7,77.1,23.52
100054,Paris Royal University,213,3,2020,France,Europe,Paris,85.12,98.7,95.9,100,Private,101598,Computer Science,4571910,1094.54,98.5,369,5.64,69653,20514,29.45,2947,11.45,62,38,Postgraduate,61980,7673,536.5,85,11,73,73.2,72.3,21.62
100055,London Technical University,181,4,2020,United Kingdom,Europe,London,87.34,94.1,92,98.3,Public,114105,Medicine,1483365,267.85,96.7,276,4.2,41327,1394,3.37,3984,29.74,64,36,Both,34443,6884,488.1,101,1,75.5,75.6,75.1,22.23
100056,Edinburgh Royal University,847,4,2020,United Kingdom,Europe,Edinburgh,40.72,97.4,100,95.8,Private,81928,Engineering,1474704,423.64,93.6,224,3.6,55755,11137,19.97,5861,6.25,54,46,Postgraduate,31687,24068,488.1,101,1,75.5,75.6,75.1,22.23
100057,Montreal National University,962,5,2020,Canada,North America,Montreal,32.65,96.9,100,100,Public,18901,Social Sciences,245713,80.93,99.6,409,6.83,58292,4237,7.27,5789,22.46,57,43,Both,48973,9319,494.1,84,24,75.2,75,76.3,20.03
100058,Singapore State University,625,4,2020,Singapore,Asia,Singapore,56.26,93.7,100,95.9,Public,72748,Social Sciences,2982668,3686.86,98,396,1.55,29688,2577,8.68,1629,25.42,40,60,Postgraduate,24966,4722,455.8,123,12,77.3,77.2,77.8,24.59
100059,Singapore Metropolitan University,833,6,2020,Singapore,Asia,Singapore,41.66,99.4,95.8,100,Public,50213,Arts & Humanities,2209372,537.69,95.8,224,6.72,37958,13768,36.27,1627,25.17,61,39,Postgraduate,23529,14429,455.8,123,12,77.3,77.2,77.8,24.59
100060,London National University,639,5,2020,United Kingdom,Europe,London,55.26,100,90.4,94.8,Public,31102,Medicine,1119672,144.55,94,93,3.82,30982,8274,26.71,3363,10.08,42,58,Undergraduate,21227,9755,488.1,101,1,75.5,75.6,75.1,22.23
100061,Berlin Royal University,391,6,2020,Germany,Europe,Berlin,72.6,97.7,99.8,100,Public,4490,Medicine,107760,47.56,100,360,8.02,44903,17344,38.63,3767,20.97,38,62,Undergraduate,36895,8008,510.9,109,6,74.3,74.1,73.9,24.02
100062,Singapore Royal University,444,7,2020,Singapore,Asia,Singapore,68.87,95.7,89.8,94.8,Public,76798,Business,2611132,1283.74,100,123,4.69,28632,1158,4.04,4609,8.97,52,48,Postgraduate,20831,7801,455.8,123,12,77.3,77.2,77.8,24.59
100063,Beijing Royal University,561,6,2020,China,Asia,Beijing,60.7,100,95.3,88.8,Public,73567,Social Sciences,2133443,297.8,99.9,430,4.22,50573,15730,31.1,5475,11.65,40,60,Postgraduate,42179,8394,447.1,106,9,77.6,77.7,77.1,23.52
100064,Chennai Metropolitan University,486,8,2020,India,Asia,Chennai,65.91,98.3,90.9,93,Private,104346,Medicine,1147806,151.19,98,219,1.5,29118,7209,24.76,3576,16.24,58,42,Undergraduate,20496,8622,507.5,86,7,74.5,74.2,74.4,21.8
100065,Tokyo Technical University,765,8,2020,Japan,Asia,Tokyo,46.38,95.1,90.2,100,Private,42173,Natural Sciences,1518228,279.29,100,165,6.02,28038,7375,26.3,646,29.2,58,42,Postgraduate,23958,4080,509.2,90,3,74.6,75,75.3,21.83
100066,Toronto State University,683,10,2020,Canada,North America,Toronto,52.08,90.5,99.3,92.2,Public,52181,Natural Sciences,2295964,3001.26,96.3,427,4.1,29311,6145,20.96,3936,27.99,59,41,Postgraduate,16909,12402,494.1,84,24,75.2,75,76.3,20.03
100067,Osaka National University,275,11,2020,Japan,Asia,Osaka,80.62,99.8,93.2,100,Private,92961,Social Sciences,3625479,1694.94,92.5,117,4.12,63895,23425,36.66,3946,27.06,37,63,Postgraduate,53267,10628,509.2,90,3,74.6,75,75.3,21.83
100068,Montreal Metropolitan University,554,4,2020,Canada,North America,Montreal,61.23,92.1,89.3,100,Private,5445,Business,168795,33.5,96.1,319,6.93,41152,4302,10.45,5313,5.66,63,37,Both,23875,17277,494.1,84,24,75.2,75,76.3,20.03
100069,Nanjing National University,143,4,2020,China,Asia,Nanjing,90,96.6,90.5,100,Public,74260,Medicine,3341700,1679.25,100,146,3.96,64684,28499,44.06,753,14.68,61,39,Undergraduate,38387,26297,447.1,106,9,77.6,77.7,77.1,23.52
100070,Munich Royal University,289,7,2020,Germany,Europe,Munich,79.72,93,95.5,95.1,Public,24103,Arts & Humanities,1084635,206.36,90.2,417,5.5,64113,19879,31.01,3065,28.3,61,39,Undergraduate,55994,8119,510.9,109,6,74.3,74.1,73.9,24.02
100071,Paris Technical University,930,11,2020,France,Europe,Paris,34.77,95,92.9,100,Public,55227,Medicine,1491129,353.77,91,110,1.76,32238,7983,24.76,4104,15.32,41,59,Both,21569,10669,536.5,85,11,73,73.2,72.3,21.62
100072,Beijing Technical University,415,16,2020,China,Asia,Beijing,70.72,92.9,89,91.3,Private,52351,Natural Sciences,1779934,702.7,100,161,7.01,66194,18979,28.67,2861,15.31,41,59,Postgraduate,54086,12108,447.1,106,9,77.6,77.7,77.1,23.52
100073,Sydney Metropolitan University,737,17,2020,Australia,Oceania,Sydney,48.16,92.4,96.1,100,Public,90148,Business,3425624,1206.21,95.1,135,3.95,62832,8716,13.87,3296,9.8,59,41,Undergraduate,43425,19407,500.4,107,2,75,74.9,74.2,22.7
100074,Bengaluru Metropolitan University,464,8,2020,India,Asia,Bengaluru,67.45,90.8,92.8,100,Private,75116,Arts & Humanities,2328596,348.38,89.8,388,4.57,37773,1369,3.62,671,26.23,36,64,Postgraduate,22586,15187,507.5,86,7,74.5,74.2,74.4,21.8
100075,Montreal Metropolitan University,592,43,2020,Canada,North America,Montreal,57.79,96.7,96.8,96.4,Public,75783,Natural Sciences,2046141,466.09,100,268,3.15,12183,3462,28.42,5081,12.03,44,56,Postgraduate,10098,2085,494.1,84,24,75.2,75,76.3,20.03
100076,Lyon State University,940,64,2020,France,Europe,Lyon,33.01,98.8,88.1,84.7,Public,43116,Social Sciences,1465944,842.5,93.1,184,3.78,55788,20086,36,4163,29.05,62,38,Undergraduate,47248,8540,536.5,85,11,73,73.2,72.3,21.62
100077,Montreal Metropolitan University,697,66,2020,Canada,North America,Montreal,49.98,98.1,100,100,Public,107336,Social Sciences,2576064,468.63,96.1,206,2.73,24562,3734,15.2,2738,28.46,59,41,Both,15993,8569,494.1,84,24,75.2,75,76.3,20.03
100078,Edinburgh Royal University,856,63,2020,United Kingdom,Europe,Edinburgh,38.91,96.6,95.2,100,Public,21198,Computer Science,551148,653.02,94.7,445,1.13,65555,14545,22.19,5673,13.38,43,57,Both,53202,12353,488.1,101,1,75.5,75.6,75.1,22.23
100079,Sydney Royal University,427,65,2020,Australia,Oceania,Sydney,68.9,92.1,95.2,100,Private,15178,Medicine,242848,448.06,100,160,3.76,66278,28907,43.61,4196,14.32,50,50,Postgraduate,51543,14735,500.4,107,2,75,74.9,74.2,22.7
100080,Stanford Technical University,794,63,2020,United States,North America,Stanford,43.25,93.1,100,100,Private,26420,Computer Science,686920,89.42,91.3,232,5.04,12032,2794,23.22,2631,5.26,49,51,Both,10782,1250,568.1,109,14,71.5,71.4,70.2,21.95
100081,Toronto Royal University,56,66,2020,Canada,North America,Toronto,94.85,97.8,100,90.6,Public,114216,Engineering,3769128,518.16,96.1,247,1.19,48860,3175,6.5,1813,10.86,39,61,Postgraduate,35037,13823,494.1,84,24,75.2,75,76.3,20.03
100082,Berkeley Royal University,571,69,2020,United States,North America,Berkeley,58.74,92.3,90.6,92.8,Public,55138,Business,2205520,281.6,100,239,6.02,46858,9717,20.74,3310,25.79,54,46,Undergraduate,29393,17465,568.1,109,14,71.5,71.4,70.2,21.95
100083,Sydney Royal University,468,78,2020,Australia,Oceania,Sydney,65.77,96.2,93.7,100,Private,16707,Engineering,183777,25.21,96.6,338,2.12,40170,4960,12.35,1647,26.14,45,55,Both,34107,6063,500.4,107,2,75,74.9,74.2,22.7
100084,Vancouver Technical University,7,76,2020,Canada,North America,Vancouver,98.08,96.6,98.8,92.2,Public,4853,Engineering,160149,61.98,100,191,5.13,7968,1785,22.4,3122,14.28,57,43,Postgraduate,4560,3408,494.1,84,24,75.2,75,76.3,20.03
100085,Kyoto Technical University,622,78,2020,Japan,Asia,Kyoto,54.99,100,95.2,100,Public,88742,Arts & Humanities,3727164,2345.6,99.4,258,1.45,40209,12929,32.15,4632,22.74,39,61,Undergraduate,32358,7851,509.2,90,3,74.6,75,75.3,21.83
100086,Sydney Technical University,829,9,2020,Australia,Oceania,Sydney,41.88,91.2,100,99.6,Public,6222,Computer Science,211548,38.21,98,88,2.43,9409,876,9.31,5165,7.93,36,64,Both,6645,2764,500.4,107,2,75,74.9,74.2,22.7
100087,Bengaluru State University,215,9,2020,India,Asia,Bengaluru,84.86,98.7,100,90.7,Public,116852,Social Sciences,1986484,336.24,96.3,291,2.9,8994,2330,25.91,5146,10.35,63,37,Both,7261,1733,507.5,86,7,74.5,74.2,74.4,21.8
100088,Bengaluru Royal University,17,9,2020,India,Asia,Bengaluru,98.72,93.2,90.2,96,Public,33584,Business,738848,249.36,100,153,6.95,64948,1938,2.98,4907,12.93,48,52,Undergraduate,57720,7228,507.5,86,7,74.5,74.2,74.4,21.8
100089,Sydney International University,171,9,2020,Australia,Oceania,Sydney,87.94,97.3,100,90,Public,101837,Computer Science,4582665,712.37,98.6,191,4.34,61981,10960,17.68,2783,13.71,65,35,Both,53808,8173,500.4,107,2,75,74.9,74.2,22.7
100090,Brisbane International University,740,9,2020,Australia,Oceania,Brisbane,48.11,95.4,92.8,90.3,Public,69215,Natural Sciences,2699385,625.29,89.4,449,4.26,60032,10543,17.56,1964,19.73,46,54,Undergraduate,39592,20440,500.4,107,2,75,74.9,74.2,22.7
100091,Toronto International University,375,10,2020,Canada,North America,Toronto,73.64,98.3,95,98.1,Private,91764,Computer Science,2661156,1020.38,98.7,330,8.23,47054,16125,34.27,4075,23.03,40,60,Undergraduate,37947,9107,494.1,84,24,75.2,75,76.3,20.03
100092,Delhi National University,788,10,2020,India,Asia,Delhi,44.73,95.6,100,91.1,Public,94690,Natural Sciences,1609730,2804.41,92.5,313,3.49,45490,20252,44.52,4258,9.48,56,44,Both,32786,12704,507.5,86,7,74.5,74.2,74.4,21.8
100093,Tokyo National University,105,11,2020,Japan,Asia,Tokyo,92.52,92.9,97.4,90.5,Public,48457,Social Sciences,1211425,172.76,94,271,8.17,35080,9306,26.53,2292,27.44,57,43,Both,22067,13013,509.2,90,3,74.6,75,75.3,21.83
100094,Toronto Technical University,412,11,2020,Canada,North America,Toronto,71.03,94.2,100,100,Private,119282,Natural Sciences,4890562,5767.17,92.1,434,7.6,36162,4491,12.42,681,29.15,64,36,Both,20830,15332,494.1,84,24,75.2,75,76.3,20.03
100095,Tokyo International University,284,11,2020,Japan,Asia,Tokyo,79.99,96.2,100,99,Public,72852,Engineering,2112708,579.78,99.1,151,6.82,50174,2619,5.22,4402,28.21,58,42,Postgraduate,44705,5469,509.2,90,3,74.6,75,75.3,21.83
100096,Beijing Royal University,270,7,2020,China,Asia,Beijing,81.05,95.8,92,97.4,Public,51207,Engineering,1792245,886.81,98.8,418,3.54,55604,20320,36.54,2719,5.52,60,40,Postgraduate,35378,20226,447.1,106,9,77.6,77.7,77.1,23.52
100097,Berlin International University,721,7,2020,Germany,Europe,Berlin,49.48,89.4,92.5,94.7,Private,69166,Business,2351644,1747.14,86.9,261,4.93,44120,19646,44.53,2957,22.09,62,38,Postgraduate,30214,13906,510.9,109,6,74.3,74.1,73.9,24.02
100098,Tokyo State University,337,7,2020,Japan,Asia,Tokyo,76.36,94.2,87.3,93,Public,57194,Computer Science,1544238,345.78,98.3,264,2.51,21160,8173,38.62,5164,23.87,54,46,Postgraduate,13086,8074,509.2,90,3,74.6,75,75.3,21.83
100099,Shanghai Royal University,605,8,2020,China,Asia,Shanghai,57.58,95.3,97.4,93.8,Private,25283,Medicine,834339,267.93,91.3,435,5.56,68423,18920,27.65,2285,14.99,45,55,Undergraduate,46638,21785,447.1,106,9,77.6,77.7,77.1,23.52
100100,Singapore Technical University,231,6,2020,Singapore,Asia,Singapore,83.8,92,100,100,Private,90208,Natural Sciences,3518112,2145.19,98.2,203,2.52,15101,5909,39.13,3766,28.95,60,40,Postgraduate,10298,4803,455.8,123,12,77.3,77.2,77.8,24.59
100101,Nanjing Metropolitan University,764,8,2020,China,Asia,Nanjing,46.45,90.9,96,86.7,Public,82304,Engineering,823040,160.97,100,426,5.67,68360,24713,36.15,3016,24.29,65,35,Undergraduate,56648,11712,447.1,106,9,77.6,77.7,77.1,23.52
100102,Shanghai Technical University,72,8,2020,China,Asia,Shanghai,94.89,89.5,88,92.6,Private,13253,Engineering,198795,27.19,100,152,3.29,27483,7510,27.33,1994,11.72,51,49,Postgraduate,19760,7723,447.1,106,9,77.6,77.7,77.1,23.52
100103,Nanjing National University,191,8,2020,China,Asia,Nanjing,86.56,99,96.8,97.6,Private,45383,Engineering,1951469,488.84,100,198,6.88,46271,6094,13.17,1826,21.34,55,45,Both,36094,10177,447.1,106,9,77.6,77.7,77.1,23.52
