university_name,QS_Rank,THE_Rank,ARWU_Rank,Enrollment,Undergrad_Students,Postgrad_Students,Student_Faculty_Ratio,Research_Output,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank,Position,Location,Established_Year,Number_of_Campuses,Programs_Offered,Total_Faculty,Campus_Area_Acres,qs_rank_2026,the_rank_2026,arwu_rank_2025,qs_score,the_score,arwu_score,qs_academic_rep,qs_employer_rep,qs_faculty_student,qs_citations,qs_intl_faculty,qs_intl_students,the_teaching,the_research_env,the_research_quality,the_industry,the_intl_outlook,founded,intl_students_pct,nobel_laureates,fields_medalists,ranked_in_all_3,avg_rank_all3,university_age_2026,data_sources,id,ror,country_code,type,works_count,cited_by_count,is_super_system,summary_stats.2yr_mean_citedness,summary_stats.h_index,summary_stats.i10_index,geo.city,geo.country,geo.latitude,geo.longitude,international.display_name.en,international.display_name.ur,citations_per_work,university_id,year,world_rank,national_rank,overall_score,city,academic_reputation_score,employer_reputation_score,citations_score,publications_count,citations_count,citations_per_faculty,h_index,research_output_score,research_productivity_index,subject_field,international_students_count,international_student_ratio,faculty_count,faculty_to_student_ratio,gender_ratio,female_percentage,male_percentage,degree_level,undergraduate_count,postgraduate_count,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio,country,region,university_type,total_students,Global_Ranking_Score,Research_Impact_Score,Faculty_to_Student_Ratio,International_Student_Percentage,Academic_Reputation_Score,Research_Productivity_Index
abdus salam centre for physics,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210139369,https://ror.org/03e1sv842,PK,funder,3140.0,110904.0,False,4.538188277087034,135.0,1853.0,Islamabad,Pakistan,33.72148,73.04329,Abdus Salam Centre for Physics,,35.31974522292994,,,,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,0.09054893208095276,0.0,0.0,0.0,0.0
aberystwyth university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,12.0,2016.0,342.0,43.0,38.5075,Aberystwyth,35.50830727,34.3265524,36.11994006,2718.0,25607.0,35.51661418,144.0,35.8,3.77,Natural Sciences,1665.0,18.0,721.0,12.82940361,48:52:00,48.0,52.0,Undergraduate & Postgraduate,6875.0,2375.0,329.32,78.0,2.0,43.92,43.23,42.78,28.22,United Kingdom,Europe,Public,9250.0,1.0,0.027993769848538085,0.07794594594594595,18.0,0.17807576364092279,3.769764216366158
abo akademi university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,13.0,2017.0,525.5,9.0,46.4,Turku,40.30240196,38.64964271,49.56685226,1242.0,14052.0,27.71579138,107.0,44.9,2.45,Life Sciences & Medicine,551.0,9.879863726,507.0,11.0,62:38:00,61.57023766,38.42976234,Undergraduate & Postgraduate,3701.0,1876.0,343.9,10.0,91.0,42.72,41.69,42.44,7.83,Finland,Europe,Public,5577.0,1.0,0.015384598636671293,0.09090909090909091,9.879863726017572,0.20211836489468404,2.4497041420118344
abu dhabi university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,14.0,2017.0,701.0,7.0,28.5,Abu Dhabi,28.47362916,30.01585473,29.86508323,713.0,6985.0,29.22792854,77.0,29.2,2.98,Natural Sciences,2.426,0.059709574,239.0,17.0,40 : 60,40.3833326,59.6166674,Undergraduate & Postgraduate,2616.0,1447.0,532.93,7.0,405.5,31.69,31.7,32.49,8.71,United Arab Emirates,Asia,Private,4063.0,1.0,0.007666852910783261,0.058823529411764705,0.059709574206251545,0.14279653540621864,2.98326359832636
abylkas saginov karaganda technical university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,15.0,2026.0,975.5,10.0,55.5,Kazakhstan,10.3,16.9,1.3,3777.0,974.0,1.14030769,28.0,5.8,4.42,Social Sciences & Management,2896.0,19.07070157,854.0,17.77985948,54:46:00,54.47321147,45.52678853,Undergraduate & Postgraduate,12765.0,2419.0,917.63,22.0,166.0,40.08,20.73,4.62,20.19,Kazakhstan,Asia,Public,15184.0,1.0,0.0010831732840480416,0.05624341412012645,19.072708113804005,0.051654964894684054,4.42271662763466
academician y.a. buketov karaganda university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,16.0,2017.0,701.0,7.0,28.5,Karaganda,37.00058042,23.52453771,34.41193678,200.0,1272.0,25.43658428,37.0,35.7,4.0,Arts & Humanities,572.0,5381.503434,50.0,9.0,53:47:00,53.05695941,46.94304059,Undergraduate & Postgraduate,7.0,4.0,528.12,8.0,236.0,38.08,42.57,37.89,1158.35,Kazakhstan,Asia,Private,10.629,1.0,0.001414929121549188,4.7041113933577945,5381.503434001317,0.18555958084252758,4.0
acharya nagarjuna university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,17.0,2017.0,876.0,23.0,15.99,India,13.875883,10.72420911,17.66266475,559.0,3744.0,12.73535431,55.0,15.8,1.9,Social Sciences & Management,168.0,3.0,294.0,19.06462585,27 : 73,27.0,73.0,Undergraduate & Postgraduate,3679.0,1926.0,677.98,34.0,152.0,23.24,22.28,22.84,2.49,India,Asia,Public,5605.0,1.0,0.004120685098937538,0.05245316681534344,2.997323818019625,0.06958817953861585,1.901360544217687
acıbadem university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,18.0,2020.0,1334.0,31.0,13.785,Turkey,13.60329635,13.22883449,14.18896135,440.0,2789.0,18.10732604,53.0,13.9,2.86,Social Sciences & Management,47.0,2.0,154.0,15.20779221,74:26:00,74.0,26.0,Undergraduate & Postgraduate,1567.0,775.0,1034.76,37.0,413.0,23.24,24.15,23.77,3.78,Turkey,Asia,Public,2342.0,1.0,0.003079423544975777,0.06575576430401367,2.0068317677198975,0.06822114518555668,2.857142857142857
ada university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,1.0,2026.0,1300.5,9.0,40.6,Azerbaijan,8.4,22.4,1.3,1778.0,422.0,1.0,19.0,4.9,4.21,Natural Sciences,1221.0,25.13328491,422.0,11.51658768,45:55:00,45.14607913,54.85392087,Undergraduate & Postgraduate,2461.0,2399.0,963.0,9.0,688.0,38.93,17.37,1.61,18.11,Azerbaijan,Asia,Public,4860.0,1.0,0.0004749088896140283,0.08683127572016461,25.123456790123456,0.04212637913741224,4.213270142180095
adam mickiewicz university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,19.0,2026.0,745.5,5.0,66.0,Poland,24.1,12.3,8.8,3991.0,8596.0,5.765261403,99.0,16.5,2.68,Social Sciences & Management,6097.0,31.29144652,1491.0,13.06773977,39 : 61,38.50481048,61.49518952,Undergraduate & Postgraduate,12822.0,6662.0,1260.32,53.0,271.0,34.35,23.47,21.97,11.88,Poland,Europe,Public,19484.0,1.0,0.009438576046248776,0.07652432765345925,31.29234243481831,0.12086258776328987,2.676727028839705
"adam mickiewicz university, poznan",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,20.0,2025.0,765.5,5.0,63.4,Poland,16.0,9.1,4.8,5746.0,4088.0,2.368202591,50.0,10.4,3.33,Natural Sciences,7696.0,29.7632953,1726.0,14.98146002,44:56:00,43.80341148,56.19658852,Undergraduate & Postgraduate,16567.0,9291.0,1206.26,52.0,258.0,33.0,21.59,17.81,11.59,Poland,Europe,Public,25858.0,1.0,0.0044910868174273325,0.06674916853584964,29.76254930775775,0.0802407221664995,3.3290845886442644
"adam mickiewicz university, poznań",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,21.0,2016.0,755.0,5.0,16.535,Poznań,17.60325284,14.40697875,14.23818498,9145.0,34808.0,10.39967128,167.0,15.9,2.73,Life Sciences & Medicine,406.0,1.0,3347.0,12.14012549,71:29:00,71.0,29.0,Undergraduate & Postgraduate,28414.0,12219.0,681.14,7.0,507.0,20.2,19.84,21.72,2.57,Poland,Europe,Public,40633.0,1.0,0.03802890766328769,0.08237147146408091,0.9991878522383285,0.0882811075225677,2.7322975799223186
adamson university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,22.0,2026.0,1100.5,5.0,49.8,Philippines,39.3,17.9,1.7,5649.0,1679.0,1.152073822,40.0,20.5,3.88,Life Sciences & Medicine,3660.0,23.0322051,1457.0,10.90734386,62:38:00,62.39115687,37.60884313,Undergraduate & Postgraduate,9761.0,6131.0,1052.0,8.0,362.0,26.66,27.65,8.13,6.39,Philippines,Asia,Private for Profit,15892.0,1.0,0.0018604453692845258,0.09168134910646866,23.03045557513214,0.19709127382146438,3.8771448181194237
adana alparslan türkeş science and technology university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,23.0,2025.0,1884.0,85.0,18.15,Turkey,18.02812591,15.79474249,13.79094117,292.0,4638.0,13.25210383,61.0,15.9,0.83,Natural Sciences,0.0,0.0,350.0,12.44,42:58:00,42.0,58.0,Undergraduate & Postgraduate,2725.0,1629.0,1430.32,104.0,285.0,26.25,21.12,20.42,10.37,Turkey,Asia,Private,4354.0,1.0,0.005098806903678407,0.08038585209003216,0.0,0.09041186514543631,0.8342857142857143
addis ababa university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,24.0,2022.0,450.0,1.0,42.3625,Ethiopia,44.24038531,46.22008797,45.70428112,9804.0,120947.0,43.67877142,362.0,45.0,3.54,Natural Sciences,0.0,0.0,2769.0,16.92452149,33 : 67,33.0,67.0,Undergraduate & Postgraduate,28059.0,18805.0,450.0,1.0,450.0,42.36,44.24,45.7,0.0,Ethiopia,Africa,Public,46864.0,1.0,0.1319604429471131,0.059085865483100034,0.0,0.22186752913741223,3.5406283856988083
adelaide university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,25.0,2026.0,82.0,10.0,72.6,Australia,78.3,62.7,69.8,8572.0,275352.0,77.58573309,562.0,74.0,2.42,Arts & Humanities,11778.0,27.0,3549.0,12.29163145,55:45:00,55.0,45.0,Undergraduate & Postgraduate,27466.0,16157.0,373.87,43.0,19.0,53.68,42.18,66.97,30.67,Australia,Oceania,Private,43623.0,1.0,0.3002115453752991,0.08135616532563097,26.99951860257204,0.3926780341023069,2.4153282614821077
adelphi university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,26.0,2024.0,1629.0,250.0,20.3035,United States,20.43264978,20.85125328,22.44409974,2031.0,13892.0,20.25084433,123.0,21.4,2.96,Arts & Humanities,461.0,7.0,686.0,9.594752187,70:30:00,70.0,30.0,Undergraduate & Postgraduate,5643.0,939.0,629.21,256.0,1.0,44.21,29.31,36.0,15.65,United States,North America,Public,6582.0,1.0,0.015223483414521432,0.10422364023093285,7.003950167122455,0.10247066088264793,2.9606413994169096
adolfo ibáñez university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,27.0,2021.0,1104.0,24.0,22.05,Chile,24.18847296,14.19770068,18.13293674,3085.0,8152.0,9.774219175,97.0,21.2,3.7,Social Sciences & Management,519.0,5.0,834.0,12.45203837,38 : 62,38.0,62.0,Undergraduate & Postgraduate,6352.0,4033.0,967.23,35.0,121.0,32.18,32.03,31.09,204.58,Chile,Latin America,Private,10385.0,1.0,0.008953597455250381,0.08030813673567645,4.997592681752527,0.12130628365095285,3.699040767386091
adıyaman university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,28.0,2026.0,1912.0,64.0,19.586,Turkey,19.30800036,21.7923485,18.37980083,2281.0,7944.0,8.057039788,76.0,18.8,2.31,Natural Sciences,542.0,3.0,986.0,18.31034483,33 : 67,33.0,67.0,Undergraduate & Postgraduate,10504.0,7550.0,1633.16,98.0,351.0,24.68,24.91,23.94,9.43,Turkey,Asia,Public,18054.0,1.0,0.008710019543385308,0.054613935969868174,3.002104796720948,0.09683049327983952,2.313387423935091
afe babalola university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,29.0,2024.0,1654.0,11.0,19.681,Nigeria,20.58301777,20.27097451,16.73505708,1670.0,13132.0,20.74548368,129.0,18.7,2.64,Life Sciences & Medicine,97.0,1.0,633.0,15.26066351,57:43:00,57.0,43.0,Undergraduate & Postgraduate,8009.0,1651.0,1424.87,15.0,825.0,24.11,20.77,24.39,0.13,Nigeria,Africa,Private,9660.0,1.0,0.014401033750101036,0.06552795031055901,1.0041407867494825,0.10322476313941825,2.6382306477093205
afyon kocatepe university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,30.0,2025.0,1937.0,95.0,16.6265,Turkey,14.6336623,20.14428683,18.11154861,5857.0,35083.0,15.71113848,179.0,16.4,2.62,Social Sciences & Management,1067.0,5.0,2233.0,9.554858934,50:50:00,50.0,50.0,Undergraduate & Postgraduate,13986.0,7350.0,1430.32,104.0,285.0,26.25,21.12,20.42,10.37,Turkey,Asia,Private,21336.0,1.0,0.03833807471119688,0.10465879265091864,5.000937382827146,0.07338847693079237,2.6229287953425886
afyonkarahisar health sciences university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,31.0,2026.0,1946.0,70.0,18.8745,Turkey,20.62521096,16.84046869,22.36811206,619.0,5992.0,15.56318288,73.0,21.5,1.61,Engineering & Technology,136.0,3.0,385.0,11.80519481,66:34:00,66.0,34.0,Undergraduate & Postgraduate,2699.0,1846.0,1633.16,98.0,351.0,24.68,24.91,23.94,9.43,Turkey,Asia,Public,4545.0,1.0,0.006582591010369343,0.0847084708470847,2.9922992299229922,0.10343636389167503,1.6077922077922078
aga khan university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,https://openalex.org/I118185606,https://ror.org/03gd0dm95,PK,funder,12245.0,435913.0,False,3.503479125248509,233.0,4698.0,Karachi,Pakistan,24.8608,67.0104,Aga Khan University,丌睾丕 禺丕賳 蹖賵賳蹖賵乇爻俟蹖,35.59926500612495,32.0,2026.0,1100.5,34.0,49.8,Pakistan,6.4,10.0,11.4,2676.0,7194.0,11.69793878,86.0,8.9,4.35,Life Sciences & Medicine,2090.0,23.90582641,615.0,14.21788618,54:46:00,53.64559779,46.35440221,Undergraduate & Postgraduate,6459.0,2285.0,1036.01,57.0,354.0,34.64,26.97,32.47,4.69,Pakistan,Asia,Private not for Profit,8744.0,1.0,0.363808241315767,0.07033394327538883,23.90210430009149,0.0320962888665998,24.26178861788618
aga khan university hospital,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,https://openalex.org/I2802929321,https://ror.org/05xcx0k58,PK,healthcare,7595.0,83092.0,False,1.415644171779141,99.0,1849.0,Karachi,Pakistan,24.8608,67.0104,Aga Khan University Hospital,丌睾丕 禺丕賳 蹖賵賳蹖賵乇爻俟蹖 蹃爻倬鬲丕賱貙 讴乇丕趩蹖,10.940355497037524,,,,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,0.06784148330511548,0.0,0.0,0.0,0.0
agh university of krakow,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,2.0,2016.0,723.0,4.0,18.52551948,Poland,19.25403763,22.22205167,20.89814428,11072.0,66912.0,22.59782075,260.0,20.1,3.74,Natural Sciences,0.0,0.0,2961.0,12.01249578,65:35:00,65.20924781,34.79075219,Undergraduate & Postgraduate,26756.0,8813.0,681.14,7.0,507.0,20.2,19.84,21.72,2.57,Poland,Europe,Public,35569.0,1.0,0.07305377846493662,0.08324664736146645,0.0,0.09655986775325977,3.7392772711921647
agh university of science and technology,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,3.0,2018.0,900.5,7.0,18.4,Krakow,18.04020354,12.36631919,16.95601553,117.0,781.0,15.62291932,27.0,17.5,2.34,Engineering & Technology,483.0,2331.081081,50.0,10.0,49:51:00,48.72457883,51.27542117,Undergraduate & Postgraduate,11.0,10.0,847.21,17.0,415.5,19.6,19.74,19.77,332.45,Poland,Europe,Public,20.72,1.0,0.0008722538631592899,2.4131274131274134,2331.0810810810813,0.09047243500501505,2.34
ahlia university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,33.0,2023.0,655.0,2.0,63.6,Bahrain,9.5,5.8,2.2,1965.0,952.0,2.187368962,22.0,5.8,4.52,Engineering & Technology,3272.0,38.89713717,435.0,19.34022989,57:43:00,57.01248557,42.98751443,Undergraduate & Postgraduate,4542.0,3871.0,724.0,3.0,564.0,59.73,11.4,1.9,27.8,Bahrain,Asia,Private,8413.0,1.0,0.0010543249503522898,0.05170569356947581,38.89219065731606,0.047642928786359076,4.517241379310345
ahmadu bello university,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,34.0,2025.0,1174.0,5.0,30.98,Nigeria,26.43091957,34.01071528,41.27859828,8666.0,94744.0,33.47844367,352.0,33.9,3.06,Arts & Humanities,0.0,0.0,2830.0,17.50212014,37 : 63,37.0,63.0,Undergraduate & Postgraduate,37484.0,12047.0,1534.67,21.0,960.0,24.61,22.86,21.92,0.1,Nigeria,Africa,Private,49531.0,1.0,0.10342726368928275,0.057135935070965656,0.0,0.1325522546138415,3.062190812720848
