Univ_ID,Year,University_Name,World Rank,Natl_Rank,Overall_Score,Country,Region,City,Univ_Type,Academic_Rep_Score,Employer_Rep_Score,Citations_Score,Publications,Citations,Citations_Per_Faculty,H_Index,Research_Output_Score,Research_Productivity_Index,Subject_Field
1618,2024,Riga Technical University,755.5,1.0,30.45,Latvia  ,Europe,Riga, Public,11.4,28.2,2.9,2194,1470,1.946439871,37,7.2,2.91,Engineering & Technology
1865,2025,Syracuse University,825.5,155.0,46.442,United States,Americas,Syracuse,Private,12.9,8.7,10.6,4947,13272,9.84596252,89,11.8,3.67,Natural Sciences
1731,2024,Shahrood University of Technology,1016.0,31.0,32.2345,Iran,Asia,Iran, Private,26.26977682,36.79209675,21.27680877,2418,8292,13.82008609,94,23.8,4.03,Life Sciences & Medicine
380,2020,Chungnam National University,725.5,29.0,19.66,South Korea,asia,Daejeon,Public,16.52385026,19.2258315,19.18636975,219,717,14.33811309,25,17.9,4.38,engineering & technology  
3326,2024,Western Michigan University,1100.5,190.0,28.6035, United States,North America,Kalamazoo,Public,5.3,3.6,5.8,5301,4837,3.5780247,71,5.6,3.92,Social Sciences & Management
140,2017,Ateneo de Manila University,525.5,2.0,46.4,Philippines,asia,Quezon City,Private  ,62.92188953,48.65521412,49.91086055,208,1885,37.69395093,43,56.4,4.16, arts & humanities
1624,2018,Rochester Institute of Technology,668.0,166.0,27.3825,United States, North America,Rochester,Private,22.8554891,27.81991936,19.89559359,3396,8909,8.069708221,89,21.4,3.08,Life Sciences & Medicine  
842,2026,Islamic University of Lebanon,1100.5,7.0,49.8,Lebanon,Asia,Lebanon,Private for Profit,10.6,13.4,1.2,1264,755,1.069446212,27,5.9,1.79, Arts & Humanities
3138,2023,Università degli Studi di Udine,1145.0,70.0,36.4, ITALY, Europe,Udine,Public,6.5,3.2,22.4,4568,22063,16.6010139,157,14.4,3.44,Engineering & Technology
1758,2024,Shoolini University of Biotechnology and Management Sciences,775.5,34.0,44.851,India,Asia  ,India,Private,8.3,12.6,42.4,690,6596,35.08648944,82,25.4,3.67,Engineering & Technology
286,2023,Ca' Foscari University of Venice,817.0,51.0,54.6,ITALY  ,europe  ,Venice,Public,17.8,17.1,14.5,2144,11930,8.619995753,108,16.2,1.55,Life Sciences & Medicine
286,2024,Ca' Foscari University of Venice,665.5,44.0,65.0,italy,Europe,Venice,Public,18.8,14.8,14.2,11311,15781,7.950112676,135,16.5,5.7,Arts & Humanities
1765,2020,Sichuan University,625.5,30.0,31.6025,china (mainland),asia,Chengdu,Public,35.11643866,32.68096383,27.04624711,62,883,17.65450901,30,31.1,1.24, social sciences & management
2509,2021,University of Biskra,1418.0,6.0,15.4225,Algeria,OTHER  ,Algeria,public,19.3195551,11.11484484,15.6860335,6512,26337,13.17494944,168,17.5,3.26,social sciences & management
2692,2024,University of Innsbruck,347.0,7.0,51.1235,Austria,Europe,Austria,PUBLIC,57.13668389,61.27875919,58.13626248,6713,55710,41.9820151,233,57.6,5.06,Engineering & Technology
2956,2026,University of Seoul,875.5,25.0,34.015,Republic of Korea,Asia  ,Seoul,public,17.6,15.6,16.5,2503,12127,15.29224684,115,17.0,3.16,Life Sciences & Medicine  
1334,2025,National University of San Martín,1783.0,24.0,20.166,Argentina  ,Latin America,Argentina,Private,21.55195167,13.11695374,21.58585223,3757,22233,16.99755131,161,21.6,2.87,Arts & Humanities
152,2020,Austral University of Chile,1087.0,22.0,19.9075,Chile,LATIN AMERICA,Chile,Public,20.82607636,22.71280375,18.98961902,4646,36841,18.31982944,204,19.9,2.31,Natural Sciences
504,2025,Egypt-Japan University of Science and Technology,571.0,3.0,44.102, Egypt,Africa,Egypt, Public,42.51155565,48.86068814,41.13782779,471,6436,32.17978225,91,41.8,2.36, Engineering & Technology
1512,2020,Politecnico di Bari,900.5,53.0,35.5,Italy,Europe,Bari,PUBLIC,37.3755126,44.33639217,46.04536388,948,11780,46.93419464,97,41.7,3.78,Engineering & Technology
71,2024,Albert-Ludwigs-Universitaet Freiburg,192.0,23.0,46.7,Germany,Europe,Freiburg im Breisgau, Public  ,46.1,19.8,63.3,3360,52233,35.55681259,243,54.7,2.29,Social Sciences & Management
2584,2017,University of Costa Rica,861.0,4.0,16.3225,Costa Rica,Latin America,Costa Rica,Private,15.78984544,15.43964541,18.38366275,10358,49952,16.8757105,222,17.1,3.5,Life Sciences & Medicine
615,2023,Georgia Southern University,1258.0,247.0,23.245,United States,NORTH AMERICA,United States,Private,23.67419212,31.17121268,22.71765312,2659,27557,18.02274515,199,23.2,1.74,Life Sciences & Medicine
41,2021,Aix-Marseille University,515.5,28.0,45.1225,France  ,europe,Marseille, public,49.29355794,42.30726286,44.36859974,223,2361,47.21901418,49,46.8,4.46,Engineering & Technology  
1256,2025,Nantes Université,655.0,28.0,41.659,France,Europe,France,public,39.94400329,52.76231398,50.0481719,9402,150655,54.46668011,454,45.0,3.4,Social Sciences & Management
2024,2018,Tokushima University,848.0,45.0,20.265,JAPAN,Asia,Tokushima City,Public,22.7069362,20.75234207,19.82649157,1869,8155,15.30090312,97,21.3,3.51,Life Sciences & Medicine
2878,2026,University of Oulu,342.0,4.0,42.0,Finland,Europe,Oulu,Public,23.0,21.8,74.5,3357,34397,43.98530249,190,48.8,4.29,natural sciences
2185,2022,Universidad Nacional de Córdoba - UNC,900.5,11.0,45.8,Argentina,Latin America,Córdoba,Public,46.2500858,43.76869341,34.75690049,29,1458,29.15838678,41,40.5,0.58,Natural Sciences
2161,2024,Universidad ICESI,925.5,10.0,51.4, colombia,Latin America,Cali,Private  ,5.5,9.7,1.7,4106,1333,1.0,35,3.6,3.08,Arts & Humanities
2925,2023,University of Rijeka,1184.0,3.0,17.7,Croatia  ,europe,Croatia,Public  ,5.4,2.6,3.9,2692,3195,4.299729375,60,4.6,3.62,Social Sciences & Management
275,2022,Burapha University,1632.0,18.0,13.045, Thailand,asia,Thailand,Private  ,14.10467993,12.46208411,14.42284962,6130,40797,17.9405367,176,14.3,2.7,Natural Sciences
90,2025,American University in Dubai,625.5,11.0,70.1,United Arab Emirates,Asia,Dubai, C,10.3,16.9,1.9,1603,1084,2.253356,32,6.1,3.33,natural sciences
3334,2023,Worcester Polytechnic Institute,1002.0,196.0,33.8875,united states,North America,Worcester,Private,3.5,6.6,26.4,3478,14944,23.27773232,128,15.0,5.42,NATURAL SCIENCES  
2957,2023,University of Seville,1031.0,48.0,29.14,spain,europe,Spain,Public,31.27324811,30.50567075,24.28853092,9831,56146,19.50869821,245,27.8,3.42, social sciences & management
428,2026,DIT University,1305.0,111.0,30.365,India,ASIA  ,India,Public  ,23.64914595,30.15564123,32.77221612,768,10283,36.59478409,112,28.2,2.73,Engineering & Technology
1935,2018,Tel Aviv University,205.0,2.0,47.0,ISRAEL,Asia,Tel Aviv,Public,61.50986755,47.6313704,33.91183961,4092,27961,26.680011,154,47.7,3.9,Life Sciences & Medicine  
3065,2020,University of Victoria,364.0,15.0,30.4, CANADA,North America  ,Victoria,PUBLIC,38.83296075,25.53666658,28.65570364,3281,7899,9.131521368,86,33.7,3.79, Life Sciences & Medicine
1106,2018,Ludwig-Maximilians-Universität München,66.0,5.0,70.8,GERMANY,Europe,Munich,PUBLIC,79.50774591,72.77155512,80.96529001,12708,314132,80.2585569,545,80.2,3.25,Social Sciences & Management
545,2021,Federal University of Pernambuco,1308.0,46.0,17.485,brazil,Latin America,Brazil,Public,12.83472313,13.24002406,22.57794811,9683,102766,24.9250066,316,17.7,2.35,Life Sciences & Medicine
1824,2024,St Marianna University School of Medicine,1247.0,60.0,27.3325,JAPAN,Asia,Japan, public,23.7573084,23.97085024,24.27115179,159,785,15.70866181,28,24.0,3.18,Engineering & Technology
930,2026,Kalasalingam Academy of Research and Education,1114.0,84.0,33.471,India,Asia,India, public,36.04645039,32.17962898,20.63705891,1867,8157,16.44626225,88,28.3,3.76, arts & humanities
2500,2016,University of Belgrade,737.0,1.0,17.7075,Serbia,europe,Belgrade,Public  ,20.33962875,21.00558597,19.70333663,7963,148781,12.6331456,349,20.0,0.68,Social Sciences & Management  
194,2025,Bartin University,1022.0,19.0,33.814,Turkey,Asia,Turkey,PRIVATE,36.89430324,37.02503455,30.76709196,2817,10298,13.8974865,107,33.8,3.8,Arts & Humanities
1597,2023,RUDN University,296.0,7.0,35.5,Russia,Europe,Moscow,Public  ,19.7,33.9,1.8,6600,1731,1.455824018,40,10.8,5.55,Life Sciences & Medicine
529,2023,Far Eastern Federal University,434.0,16.0,26.8,Russia,Europe,Vladivostok,Public,8.4,3.4,1.9,3359,1887,1.731206074,47,5.2,3.08,social sciences & management
705,2025,Hong Kong Baptist University,252.0,6.0,40.3,hong kong sar, asia,Hong Kong,Public,18.2,12.0,61.4,842,14076,39.20969236,131,39.8,2.35,Social Sciences & Management
1635,2024,Russian Presidential Academy of National Economy and Public Administration,1100.5,27.0,20.811,Russia,Europe,Moscow,PUBLIC,5.2,6.8,1.1,2046,1376,1.074724897,37,3.2,1.6, Natural Sciences  
865,2026,Izmir Yüksek Teknoloji Enstitüsü,1300.5,16.0,40.6,türkiye,Asia,Türkiye,Public  ,11.0,10.8,18.6,2181,10417,20.54606187,93,14.8,4.3,Life Sciences & Medicine
1703,2018,Savitribai Phule Pune University,900.5,23.0,22.5425,India,Asia,Pune,PUBLIC,24.85316143,20.09665224,27.89998037,444,11698,17.05176921,104,26.4,0.65, Social Sciences & Management
2505,2024,University of Bialystok,1300.5,29.0,31.7,Poland,Europe,Bialystok,Public,5.8,3.1,2.5,3713,2076,2.316787896,53,4.2,4.14,arts & humanities
2725,2017,University of Kwazulu-Natal,675.5,9.0,31.1,South Africa,africa,Pinetown,Public,36.04632924,37.34774614,27.3578734,136,1003,20.06430922,28,31.7,2.72,life sciences & medicine
2614,2022,University of Electronic Science and Technology of China,595.5,35.0,40.315,china (mainland),Asia,Chengdu,Public,33.88669281,53.37488713,44.30667186,163,1792,35.8333284,44,39.1,3.26,Arts & Humanities
2307,2023,Universidade Eduardo Mondlane,654.0,1.0,37.545,Mozambique,other,Mozambique, Public,58.88918913,39.35570031,40.76132182,8177,89545,36.6085873,349,49.8,3.34,Social Sciences & Management
2954,2026,University of Science and Technology of Oran Mohamed-Boudiaf,1884.0,10.0,20.4415,Algeria,OTHER,Algeria,Public,19.28074071,20.94416383,15.82613536,3401,14886,10.45377994,130,17.6,2.39,Arts & Humanities
2050,2022,Toyo University,1620.0,113.0,13.2375,Japan, ASIA,Japan,public,12.99143687,16.05292426,11.6814799,3660,14272,8.268981466,105,12.3,2.12,Arts & Humanities
676,2025,Hanoi University of Science and Technology,1300.5,8.0,23.3855, Vietnam, Asia,Hanoi,public  ,7.3,7.3,4.7,13314,13824,4.089956983,100,6.0,3.94,Natural Sciences
1023,2025,Kore University of Enna,1036.0,70.0,33.6015,Italy, Europe  ,Italy,Public,24.17084726,40.52839917,36.71644758,1517,11308,25.64146414,103,30.4,3.44,ENGINEERING & TECHNOLOGY  
787,2023,Indiana University,172.0,50.0,56.5325,United States  ,NORTH AMERICA,United States, Public,69.19810158,63.41830727,59.15770287,11662,197887,41.54671294,473,64.2,2.45,Natural Sciences
2689,2016,University of Illinois at Urbana-Champaign,36.0,20.0,74.5,United States,North America  ,Champaign,Public,92.91083122,100.0,74.30468868,19481,217215,69.02292114,545,83.6,6.19,Natural Sciences
262,2025,Boğaziçi University,613.0,8.0,42.8125,Turkey  ,Asia,Turkey,PUBLIC,34.13164653,45.74823779,34.00823428,3992,13550,19.35742581,95,34.1,5.7,Arts & Humanities
341,2021,Charité - Universitätsmedizin Berlin,75.0,6.0,65.4075,Germany,europe,Germany,Private,78.44880488,73.81984962,78.35033959,1548,40727,61.80051097,189,78.4,2.35,ARTS & HUMANITIES
1906,2020,Technical University of Košice,1244.0,4.0,16.22,Slovakia,europe,Slovakia,PUBLIC,15.51361366,16.11803601,16.94382784,1063,11257,16.24417643,105,16.2,1.53,ENGINEERING & TECHNOLOGY
1507,2022,Pirogov Russian National Research Medical University,1435.0,15.0,17.5625,Russian Federation  ,EUROPE,Russian Federation,Public  ,16.2341025,20.89066493,18.55639823,2040,6960,7.855446878,91,17.4,2.3,Natural Sciences
